"index","class","text","ethnic_keyword","hate_keyword","christian|christians","muslim|muslims|islam|islamic","northern|northerner|northerners|arewa|almajiri","southern|southerner|southerners","hausa|hausas","fulani|fulanis","yoruba|yorubas","igbo|ibo|ibos|igbos","women|woman|girl|girls|female|females","lgbt|lgbtq|lgbtq+|gay|gays|lesbian|lesbians|transgender|transgenders","herdsmen|herdsman","eastern|easterner|easterners|biafra","name"
34,1,"@bravefacefunkie @ronikade3 @OvieNews Look where u become mumu here.
I'm not Igbo but I've been hearing Biafra right from Oba, GEJ, the PDP era.
So what brought What u call Buhari and the APC in to your opinion now? 😁","eastern|easterner|easterners|biafra","mumu|mumus",,,,,,,,,,,,,"Ibrahim"
355,2,"@channelstv And the Senior Agbero of the North(SAN 😏), product of a skewed quota system, subtly threatens the Igbos and in their(North's) usual manner transfers aggression to 1 tribe out of the whole south; and anyone still wonders why Biafra agitation keeps gaining momentum? #MadPeople","eastern|easterner|easterners|biafra","agbero|agberos|awon agbero",,,1,,,,,,,,,,"Ibrahim"
429,0,"Which one is correct? Some call it BIAFROG, Others call it BIAFRA &amp; I'm hearing some saying  BIAFRAUD. Someone should help me out","eastern|easterner|easterners|biafra","biafrat|biafraud",,,,,,,,,,,,,"Ibrahim"
430,2,"@C_Oranye @Waspapping_ Get out biafraud! We have good igbos , they are our friends ... Schooling , businesses and all other sort of things together","eastern|easterner|easterners|biafra","biafrat|biafraud",,,,,,,,,,,,1,"Ibrahim"
305,2,"@Dr3am3r_11 @SaharaReporters This is modern era I think igbos are smart before and are smarter now than ever if war start now Biafra will clear aboki land within a twinkle of an eye trust me","eastern|easterner|easterners|biafra","aboki|abokai",,,1,,,,,,,,,,"Ibrahim"
33,2,"this country dem de call nigeria 🇳🇬 i weak, de don reason us like mumu wella, dem go just wakeup increase anytin dem like, wakeup say de wan give fulani money, wakeup with there ram head.. nigeria jagajaga #Nigerians #Dangote #Biafra #FuelPriceHike  make d ones wey get sense ffb","eastern|easterner|easterners|biafra","mumu|mumus",,,,,,,,,,,,,"Ibrahim"
72,2,"@SaharaReporters @MaziNnamdiKanu The name of the useless group is conference of Igbo Elders for Peace and they have only 15 members.. A branch of ndi oshi ohanaeze Ndi Igbo.. Eastern Security Network is here to Stay.. #WeMove","eastern|easterner|easterners|biafra","onye oshi|ndi oshi",,,,,,,,1,,,,,"Ibrahim"
166,1,"@barrylovesu @benisilva3 @Theresa11311762 @MaziNnamdiKanu At your age, you should mature enough to contribute to public opinion, the concept was about ""Biafra land"" instead out of stupidity you decided to insult the women in Edo by calling them ashawo and I gave a better answer with facts","eastern|easterner|easterners|biafra","ashawo|ashawos",,,,,,,,,,,,,"Ibrahim"
153,0,"With all due respect Who is an ashewo?

#Fulani #Biafra #scripturechallenge #sillhouettechallenge #AllWhitePartyWithNengi #EndSARS #EricaNaYourMama ,#BoycottBJP","eastern|easterner|easterners|biafra","ashewo|ashewos|awon ashewo",,,,,,,,,,,,,"Ibrahim"
431,2,"@Ebube73243746 @vanguardngrnews @MaziNnamdiKanu Fulani, Fulani, is MACBAN Fielding any candidate. If you people cannot put your house in order, why blame others?  Is this how you will conduct elections in BIAFRAUD republic?","eastern|easterner|easterners|biafra","biafrat|biafraud",,,,,,,,,,,,1,"Ibrahim"
35,1,"I keep hearing, Sunday igboho has an agenda, who doesn't have agenda? Buhari has an agenda, he signed railway to niger republic by closing yoruba borders. Kanu that want Biafra has an agenda. If igboho agenda is for Yoruba. It's a good thing. Na mumu person believe in one Nigeria","eastern|easterner|easterners|biafra","mumu|mumus",,,,,,,,,,,,,"Ibrahim"
399,0,"When elephants fight d grass suffer.we ar always at d receiving ends@ZonkwaKd to d hausa/fulani we are arna 2 d other regions we are hausa's","fulani|fulanis","arne|arna",,,,,,,,,,,,,"Ibrahim"
184,0,"How to use VPN

👉Download any FREE VPN
👉Choose any country you like
👉Tap connect
👉Click get later
👉Then Start Tweeting Gen. Buhari and #APC and Fulani Stupidity.

Awon Eranko lasan lasan can't make make #YorubaNation, #Biafra their Slave.

If you need info?
Tweet it HERE! https://t.co/vMU9nTLJIQ","fulani|fulanis","lasan",,,,,,,,,,,,,"Ibrahim"
401,0,"@balahassanu @Fulani_Tutor @ShehuSani @atiku @Bellomatawalle1 When ur ppl are busy calling other ethnic groups ARNE ,Christian missionaries are busy wining many hearts of Fulanis in d bush!
A lot of their youths can't recite Suratul fathia .
This must be our collective sacrifice to win their hearts back to God! https://t.co/6FncrZWOaj","fulani|fulanis","arne|arna",,,,,,1,,,,,,,"Ibrahim"
275,2,"RT @Imoladayo: @aproko_doctor This happen to a friend of my friend along Akure owo road today they were shot at by Fulani herdsmen thank Go…","fulani|fulanis","owo",,,,,,1,,,,,,,"Ibrahim"
59,2,"@DrJoeAbah Chief, these Efulefus and imported Fulanis in the north have phobia for Igbo men for no reason..
Ndi nzuzu nyere nu anyi efe","fulani|fulanis","onye nzuzu|ndi nzuzu",,,,,,1,,,,,,,"Ibrahim"
402,0,"FACT!
All these Muslim, No Matter how Islamic u are, if u are Not a Core Hausa or Fulani, 
Then u Don't belong with them.

""Menene Poster na Arne yana yi a Jihar mu?""

Find some to  interprete for u.
I no get 💪 again.
Hungry dey Catch me self.
Thinking of what to eat Today. https://t.co/oxR5iEPfKZ","fulani|fulanis","arne|arna",,,,,,,,,,,,,"Ibrahim"
21,2,"@gimbakakanda Imagine this mkpi,its IPOB that is ur problem,IPOB who are just simply defending themselves anyway they can.Your own region has being outrun by bokoharam,bandits,fulani herdsmen,ISWAP,instead of you to focus your energy to call them out everyday you are busy hating IPOB. Mumu😡","fulani|fulanis","mumu|mumus",,,1,,,,,,,,,,"Ibrahim"
39,2,"@YemieFASH Thank God I understands Ibo.
You are a devil for spreading fake news. 
Fulani gbukwa  there. 
Anuofia","fulani|fulanis","anuofia|ndi anofia",,,,,,1,,,,,,,"Ibrahim"
349,1,"@kallyjoe @PoliceNG Govt interests didn't send in those protesters That's why the police fuck with them

NURTW Agbero, killer Fulani herdsmen, killer bandits and hoodlums all represent govt interest in one form or another. 

Hence the police inactivity

Nigeria is not worth dying or fighting for.","fulani|fulanis","agbero|agberos|awon agbero",,,,,,,,,,,,,"Ibrahim"
89,2,"RT @Adedotvn: My Dad stopped traveling to Ijebu-Ode after he got robbed and ambushed by Fulani Herdsmen as far back as 2013. 

From his nar…","fulani|fulanis","ode|awon ode",,,,,,,,,,,1,,"Ibrahim"
388,0,"@Chimsky1 @biffamna @Faty_Alfa Yes Sir!
I currently work in Maiduguri and the Kanuris see themselves as the only true Muslims in Nigeria why you hear them (in banter or joke with fulanis) call each other kafir","fulani|fulanis","kafir|kafirai",,,,,,,,,,,,,"Ibrahim"
90,1,"@DOT_G4 @Ozo_Njenje @okuwogaokunade Dodoyo ode, I guess PDP has been a SW party since 1999. Odenson, I also guess NPN was a SW party abi. Amunkumeko, your SE that voted for Atiku in the last election were in marriage with which region? Didirin, I also guess Atiku is from Yoruba tribe but not Fulani? The stats that","fulani|fulanis","ode|awon ode",,,,,,,,,,,,,"Ibrahim"
214,0,"RT @darlwright77: For few weeks now lots of bodies have been flying over the internet. Bolo Haram extremist, Some sect of Fulani herdsmen,…","fulani|fulanis","bolo",,,,,,,,,,,,,"Ibrahim"
6,2,"@derekells Did I beg u to follow me..
Y not block me with concrete..
Ewu hausa..
Fulani cow..
Better block ur life out from here","fulani|fulanis","ewu",,,,,1,,,,,,,,"Ibrahim"
377,2,"Yhup I love Malo gurls ""@Rowzaayy: Hausa/Fulani girls are the cutest girls in Nigeria! Believe it or not :|""","fulani|fulanis","malo|malos",,,,,,,,,1,,,,"Ibrahim"
292,2,"RT @timi_wakanda: @GazetteNGR Another Northern aboki.
Buhari can’t disappoint. Government of the Fulani for the Fulani https://t.co/zzOQEAI…","fulani|fulanis","aboki|abokai",,,1,,,,,,,,,,"Ibrahim"
276,2,"RT @Omambala_Chuks: #RT @Amaka_Ekwo: RT @DeclanIfeanyi1: At Ikare Junction in Owo Ondo State where four Fulani herdsmen fully armed to the…","fulani|fulanis","owo",,,,,,,,,,,1,,"Ibrahim"
379,2,"RT @JideAkintunde1: @ShehuSani 😂😂😂 but on a norms...Buhari mumu ooo no wonder dem dey call dem Hausa/fulani malo only say nah British peopl…","fulani|fulanis","malo|malos",,,,,,1,,,,,,,"Ibrahim"
189,2,"@Ya_waliyyi @ahmadmati1 @BashirAhmaad @IbeKachikwu Kai ebe ka aturu si puta Ebe aa.gerrrahere Hausa fulani","fulani|fulanis","aturu",,,,,,1,,,,,,,"Ibrahim"
313,2,"@SaharaReporters Now I know why Yoruba pple call the Fulani/mallam animal.....set awon oloriburuku","fulani|fulanis","mallam|malamai",,,,,,1,,,,,,,"Ibrahim"
105,1,"@DanMinna @Zahrahmusa @SERAPNigeria @TrackaNG @NGRSenate @HouseNGR @officialEFCC @realFFK We're waiting to hear from FFK. Hope he won't come out to say Amaechi is a Hausa/Fulani, Islamic agent! And some 'olodos' will go to town with that.","fulani|fulanis","olodo|olodos|awon olodo",,,,,,,,,,,,,"Ibrahim"
173,2,"@kiki_Oro @Kempez2017 @OgbeniDipo You re big fool. Omo ale Yoruba. Eru FULANI. Don't worry boko haram ll attack you very soon lagbara olorun","fulani|fulanis","omo ale|awon omo ale",,,,,,1,,,,,,,"Ibrahim"
22,1,"@MBuhari. because no b hausa dem dey kill na why u lock up abi...

 Fulani herdsmen matter u no do anything. 

Is Trump a Nigerian?.. 
Mumu man

#BuhariHasFailed https://t.co/GilB3bKaZ4","fulani|fulanis","mumu|mumus",,,,,,,,,,,,,"Ibrahim"
221,2,"@AreaFada1 Almost agreed with u in entirety until D 'goro chopping mugu' came up,which is in reference to D northerners,difficult as it may seems(under d present clime)the 9ja problem was created by our past people:hausa,fulani,igbos,yoruba and the WHITE!!I hate this nigeria as much as u do","fulani|fulanis","mugu",,,1,,,,,,,,,,"Ibrahim"
104,2,"This is one of the evil, feckless and useless presidents ever. He can't command the police to search for fulani herdsmen terrorizing our people in their own land. What the northern people can never tolerate. Olodo buruku! O maa ku jati jati ni. #EndSARS https://t.co/j0DkV6AZs3","fulani|fulanis","olodo|olodos|awon olodo",,,,,,,,,,,1,,"Ibrahim"
375,2,"Malo (hausa/fulani) guys can be like to fine sha! #justsaying","hausa|hausas","malo|malos",,,,,,1,,,,,,,"Ibrahim"
5,2,"@tu_shillah @temsbaby @BebeCoolUG chaii.. all this girls from uganda shaa:
yea she is upcoming but bigger than all your outdated musicians including your president ode,aturu hausa,ewu","hausa|hausas","ewu",,,,,1,,,,,,,,"Ibrahim"
113,1,"@Q_Splendor @Adeogun02 @Chukadibia4 @Baruch4ever Mtchew.. didirin.. Hausa, Yoruba, Igbo, everybody knows what’s good for them.. Mak up kit or not, u people r d once always wailing like slaves in their own country, u people r d once always playing d victim card, na ona full Lagos n Kano, always crying, u ppl","hausa|hausas","didirin|awon didirin",,,,,,,,,,,,,"Ibrahim"
172,2,"@ayemojubar Yoruba the most foolish race. Hausa Fulani killed Abiola, after his election was annulled with the help of Igbos. Now tinubu another Yoruba who will resturcure Nigeria is being by attacked all you stupid Yoruba omo ale. You hate tinubu but you love obasanjo the real saboteur.","hausa|hausas","omo ale|awon omo ale",,,,,1,,,,,,,,"Ibrahim"
67,0,"RT @oscarokeke1: #They all liars Igbo Governors,#Ohanaeze ndi oshi,They do not represent masses just answering to Hausa Fulani caliphate  s…","hausa|hausas","onye oshi|ndi oshi",,,,,,,,,,,,,"Ibrahim"
211,0,"Such awesome products frm @google #googlefornigeria @jehimuan
GalleryGo -a new photo editing &amp; organization app built 4 devices wit low memory.
GoogleLens - it helps people read, now available in local langs, Hausa, Igbo &amp; Yoruba.
Bolo-""BOLO"" app helps your children read better. https://t.co/PriuQpwWBC","hausa|hausas","bolo",,,,,,,,,,,,,"Ibrahim"
183,2,"@Babangi64731318 @s_ola23 @coronavirus_WHO @ShehuSani Hausa people that can't claim their land from the Fulanis..., see ehn, people with your mentality are the greatest liabilities Nigeria is still getting over with. How can one tribe outta more than 250 tribes in one settlement claim they're ""Born to rule"".  Awọn Oloshi lasan","hausa|hausas","lasan",,,,,1,,,,,,,,"Ibrahim"
147,1,"RT @R2_TV: Question: Yoruba, Hausa or Ibo girls... 
@DizzyMbata: I'll go with all three... 
Lol.. Ashewo Boi!!!
#R2TVBreakfastShow","hausa|hausas","ashewo|ashewos|awon ashewo",,,,,,,,,,,,,"Ibrahim"
78,2,"@BWLawal @Babajiide @xniyi @seunonigbinde So the issue of killing and kidnapping should not be taken seriously..... If it is hausa man or Fulani u won't see their vomiting trash like this.... Awon oponu omo Yoruba","hausa|hausas","oponu|awon aoponu",,,,,,,1,,,,,,"Ibrahim"
167,0,"RT @naiiimah: So these ashy hausa guys want to be treated like the prophet was treated by his wives but will not treat a woman the way the…","hausa|hausas","ashy",,,,,,,,,,,,,"Ibrahim"
79,1,"@realFFK Eyin kan ya oponu ni sa. Is it my money? Yoruba money? Hausa's money? Ebira's money? It is Niger Deltans' s money. If you like free everyone involved. Just make sure you do not blame Buhari for this.","hausa|hausas","oponu|awon aoponu",,,,,,,,,,,,,"Ibrahim"
348,0,"4. The poor Hausa man sleeps under the bridge as Alamajiri
The poor Yoruba man sleeps under the bridge as Alaye
The poor Ibo man sleeps under the bridge as agbero
It is pertinent to note that the poor from all ethnic groups in Nigeria have everything in common and so is the rich","hausa|hausas","agbero|agberos|awon agbero",,,,,,,,,,,,,"Ibrahim"
259,2,"@KemiOlunloyo Dats exactly wat u re kemi mad woman,werey,Anuofia n Ewu Hausa go get a life BITCH n leave Davido out of ur mouth b4 thunder strike u","hausa|hausas","werey|awon weyre",,,,,,,,,1,,,,"Ibrahim"
347,2,"@Laurestar Hasten generalization; 

Yoruba (Yahoo herdsmen) 
Yoruba(Ritualist Herdsmen) 
Hausa (Embezzled/stealing Herdsmen) 
Hausa (Ritualist Herdsmen) 
Igbo ( Drug dealers Herdsmen) 
Igbo (Ritualist Herdsmen) 
Igbo (419 Herdsmen) 
Yoruba (Agbero/stealing Herdsmen)
Edo(Asewo Herdswomen)","hausa|hausas","agbero|agberos|awon agbero",,,,,,,,,,,,,"Ibrahim"
66,0,"They are called:

Ole In Yoruba
Barawo in Hausa
Onye oshi in Igbo

End if discussion. https://t.co/8GDO1XPoUk","hausa|hausas","onye oshi|ndi oshi",,,,,,,,,,,,,"Ibrahim"
260,1,"@budXcurious @Jadesola_S Dem be werey. I watched it yesterday. Channels should have brought 1 Hausa, Igbo and Yoruba senator on that seat so that we can all shame them together. I like Ali Ndume though","hausa|hausas","werey|awon weyre",,,,,,,,,,,,,"Ibrahim"
245,2,"Sharrap dere! (˘̯˘ ) ""@dicano11: Boko Haram:""@YungmonyB26: Cc @chocolatagalz ""@Yomistical: Hausa babe wey like Yoruba guys""""""","hausa|hausas","sharrap",,,,,,,,,1,,,,"Ibrahim"
65,2,"RT @piejike: #Ohanaeze Ndi Oshi selling their souls to hausa fulani masters @NkirukaNistoran @radiobiafralive https://t.co/bmf9Ry7tdI","hausa|hausas","onye oshi|ndi oshi",,,,,,,,1,,,,,"Ibrahim"
374,0,"@AlhIdrisDantata @ThatNaijaBarbie Igbo man call Hausa ""abokis"", ""almajiries"" Yoruba man call Hausa ""malam"" or ""malo"". but when I come here. i see the real almajiries, Hausa man is always ahead 😷😷","hausa|hausas","malo|malos",,,,,,,,,,,,,"Ibrahim"
250,1,"@NigeriaInfoAbj there are many Yoruba people I knew that can speak Fulani and Hausa fluently. So that police man was suegbe.","hausa|hausas","suegbe",,,,,,,,,,,,,"Ibrahim"
261,1,"RT @DrOlufunmilayo: Adeyinka Grandson is yoruba.
Adamu Garba is hausa.
Nnamdi Kanu is igbo.

Awon werey meta.

You see that madness is not…","hausa|hausas","werey|awon weyre",,,,,,,,,,,,,"Ibrahim"
93,2,"@Suleey7 @MBuhari Oloshi omo hausa
When you people don't know real life 
Just sleep eat wake in the northern side 
Office workers go to work 12pm return home 2pm after prayer 
Not your fault how will you understand. Na fura kaza full una brain mumu
#EndPoliceBrutalityinNigeraNOW #endSARS","hausa|hausas","oloshi|awon oloshi",,,,,1,,,,,,,,"Ibrahim"
376,0,"Lie""@lil_MssAwesome: This! ""@Don_Akay: Ya'll can call a Hausa gurls malo or what ever but Hausa produce d most decent girls in Nigeria","hausa|hausas","malo|malos",,,,,,,,,,,,,"Ibrahim"
252,0,"Igala
Ibira
Fulani
Hausa
Igbo
Yoruba
Baghi
Tiff
Kanuri
I Knw only these🚶🏻🚶🏻🚶🏻 https://t.co/UwePLUlBpH","hausa|hausas","tiff",,,,,,,,,,,,,"Ibrahim"
323,2,"@renoomokri @officialKolaO Tell them, they were not shocked, when mallam el-Rufai paid Fulani herdsmen for killing southern Kaduna people, but they are shocked when Wike assisted victims of herdsmen's attacks in Benue. Bastards.","herdsmen|herdsman","mallam|malamai",,,,,,,,,,,1,,"Ibrahim"
30,2,"RT @Herdsman__: Herdsman don't graze animals on farms again, they set them ablaze.

Credit: one mumu Yoruba guy, who claimed that his fathe…","herdsmen|herdsman","mumu|mumus",,,,,,,1,,,,,,"Ibrahim"
219,1,"@HQNigerianArmy God punish Una o ,if its fake news then what's the real news tell me,you people can't kill bolo haram or Fulani herdsmen its innocent unarmed Nigerians ur killing shammmmmmmmmmme!!!!!!!!!! On all of you","herdsmen|herdsman","bolo",,,,,,,,,,,,,"Ibrahim"
233,2,"@MBuhari and U keeping quiet as Ur imported foreign clan of Fulani herdsmen are killing Farmers and sending them away from farms! mugun!","herdsmen|herdsman","mugun",,,,,,,,,,,1,,"Ibrahim"
278,0,"RT @Akinjo: Why is Btw Owo and Akure fast becoming a den of Kidnappers allegedly by Fulani Herdsmen and the Commissioner of Police  of ondo…","herdsmen|herdsman","owo",,,,,,,,,,,,,"Ibrahim"
137,1,"@APCNigeria Testing propanganda...
Lie Mohammed passed
Testing the herdsmen...
The Fulanis passed
Price of bag of rice nko...#yeye","herdsmen|herdsman","yeye|awon akin yeye",,,,,,,,,,,,,"Ibrahim"
216,0,"@SaharaReporters dEy wan carry una go give bolo Haram and Fulani herdsmen so.
Una beta run oooo🧐","herdsmen|herdsman","bolo",,,,,,,,,,,,,"Ibrahim"
124,2,"@Igboho_Oosa dear brother, Agbatan laa ngba ole, the struggle you must be concluded. Igangan and Yewa ketu in Ogun state people are still under attacks by the Fulani herdsmen. Please don't abandoned your people. We count and trust even more our so called Governor and politicians.","herdsmen|herdsman","ole|awon ole",,,,,,,,,,,1,,"Ibrahim"
279,2,"Yesterday was unforgotten inccidents dat took away peoples live in Akungba-Akoko. Oh lord, We seek your define intervention in Ondo state nd also thank u for sparing the lives of our comrades as they were attacked by Fulani herdsmen few minutes ago along Owo Ogbese Akure road 2da","herdsmen|herdsman","owo",,,,,,,,,,,1,,"Ibrahim"
109,1,"@GanyobiAyi @ComrdNelson @leirbagayn @channelstv @benmurraybruce @OlusegunObasnjo APC has achieved Fulani herdsmen, Boko Haram nego, Corruption X 100, poverty etc, olodo","herdsmen|herdsman","olodo|olodos|awon olodo",,,,,,,,,,,,,"Ibrahim"
31,1,"You don't want to see Fulani herdsmen or any resemblance of cow in your vicinities but you are the first to shout ""mama Nkechi, nyem ikwobi"" whenever you get to your famous joint. 

Mumu.","herdsmen|herdsman","mumu|mumus",,,,,,,,,,,,,"Ibrahim"
365,2,"@EmmyJArt @amandachinda_ Fulani herdsmen kidnapped her..... accidentally her bulb head boom!!!! Agbaya","herdsmen|herdsman","agbaya",,,,,,,,,,,1,,"Ibrahim"
303,2,"@KabiruYahayaAm1 @voiceofhopes @galadima_alhaji @MaziNnamdiKanu What Is The Meaning of Bigot?Aboki Bandit,Fulani Herdsmen.","herdsmen|herdsman","aboki|abokai",,,,,,,,,,,1,,"Ibrahim"
125,0,"Herdsmen Should Embrace Ranching ― Adamu Garba

https://t.co/ykN3maQ9pF

Fulani | Suarez | #Bitcoin | Miyetti Allah | Ole Gunnar Solskjaer | Buhari | #RevolutionNow | #SuccessForKiddrica | Kiddwaya","herdsmen|herdsman","ole|awon ole",,,,,,,,,,,,,"Ibrahim"
163,2,"@alaokayode @channelstv @MoghaluKingsley @obyezeks @osita_chidoka Fool.
Oponu oshi.
Fulani demonic herdsmen aka bandits kidnappers kill and rape farmers in ogun,oyo,ondo etc,the federal government protects them.
Villagers in ogun state are idp's in Benin Republic,and you are here talking rubbish.
Omo ashawo oshi.
Eru oshi.","herdsmen|herdsman","ashawo|ashawos",,,,,,,,,,,1,,"Ibrahim"
11,2,"The result you get when a cow loving Fulani Herdsman is packaged in agbada as the next best thing after isi-ewu.

8 years lost (almost) as a result of this mistake. https://t.co/H2y9mRw3dd","herdsmen|herdsman","ewu",,,,,,,,,,,1,,"Ibrahim"
138,1,"@BashirAhmaad God go punish you, Bashir Ahmad for calling buhari father of the nation and lover of Nigeria. The yeye man is only a patriot leader of Fulani herdsmen and boko haram. Nonsense","herdsmen|herdsman","yeye|awon akin yeye",,,,,,,,,,,,,"Ibrahim"
178,1,"Indeed, any Yoruba person speaking against Chief Sunday Igboho is OMO ALE and a coward. I even think God IS AGAINST anyone in Nigeria who's not happy with what this Yoruba leader and true son is doing to emancipate Yoruba people from the herdsmen. https://t.co/Ykm7ns1gRI","herdsmen|herdsman","omo ale|awon omo ale",,,,,,,,,,,,,"Ibrahim"
341,1,"#Karambanin Akuya, ai kune fulani herdsmen. Wawaye kawai! https://t.co/7IqiY52YgB","herdsmen|herdsman","wawa|wawaye",,,,,,,,,,,,,"Ibrahim"
382,2,"@Azeezkjr2012 @SundayIgbohoo All Fulani herdsmen are the same
They believe one thing and does one thing 
They are evil and should be seperated among others..
Because they value malo than humans..😡","herdsmen|herdsman","malo|malos",,,,,,,,,,,1,,"Ibrahim"
463,0,"RT @jaff8: [TheTrent] Police Arrest Baby Factory Operator, Rescue 9 Pregnant Girls In Enugu http://t.co/DSq0KTUpUb http://t.co/N3Iu4rP5Uv","igbo|ibo|ibos|igbos","baby factory|baby factories",,,,,,,,,,,,,"Ibrahim"
