index,class,text,ethnic_keyword,name
1272,0,Biafra: Buhari Has Done More For Ndigbo Than PDP Era – APC Chieftain Ejikeme Ugwu https://t.co/qGCsWQ0yHg,eastern|easterner|easterners|biafra,Haaya
414,3,I wonder if he will do any shit for the eastern mass...  @MBuhari,eastern|easterner|easterners|biafra,Haaya
139,0,"RT @onyiNnabuko: In Biafra, even if you want to worship cockroach, you are free. It is not in our DNA to force anybody to do anything and w…",eastern|easterner|easterners|biafra,Haaya
240,2,"shows clearly tat,they re useless without Biafra in nig,its very clear tat,they re nothing but leeches an obnoxious parasites",eastern|easterner|easterners|biafra,Haaya
1255,0,"RT @EmekaGift: @IsraelinIreland ,We are indigenous people of #Biafra,our right to exist has been violated by Nigerian gov. https://t.co/MVz…",eastern|easterner|easterners|biafra,Haaya
475,1,RT @biafra_tv: Biafra: Uwazuruike: the shame and disgrace of his dubious style of freedom fighting; the fraud; the liar; and the… https://t…,eastern|easterner|easterners|biafra,Haaya
590,1,"@kinzydayzy @AgnesNwokike @MaziNnamdiKanu Is not by force to be a Nigerian 

We don't want Nigeria
All we want and  dream is Biafra

VP slut is not freedom",eastern|easterner|easterners|biafra,Haaya
1249,0,I've just posted on my Blog about: Young lady killed today at Biafra protest in Onitsha (photos) https://t.co/a5MRRHmFoL,eastern|easterner|easterners|biafra,Haaya
1264,0,....In Burkina Faso mediating on the crises there....Meanwhile the North Eastern part of Homeland is gradually... http://t.co/jy1VJ6YT3p,eastern|easterner|easterners|biafra,Haaya
140,1,"@HHaf009 @henryshield Eastern cockroaches? Really feel sorry for folks like u that seems educated but obviously not intelligent, cos u just showed ur level of immaturity!",eastern|easterner|easterners|biafra,Haaya
1250,0,"@BarackObama.d world hornour Mandela, especially biafrans# help us restore biafra so dat we may hornour u. freedom",eastern|easterner|easterners|biafra,Haaya
1251,0,RT @naijcom: Anybody who betrays #Biafra will die mysterioysly – #IPOB warns https://t.co/8DWAKV87g2 @radiobiafralive,eastern|easterner|easterners|biafra,Haaya
138,2,"Take a careful look, one is Kenya flag, the other is Biafra flag. One if carrying sun, the other is carrying cockroach. One if better than the other. Like for Biafra, retweet for Kenya .#nigeriavskenya #NONSENSE https://t.co/4b2EoTD39J",eastern|easterner|easterners|biafra,Haaya
779,1,"RT @PleasureEthics: This is the image of someone mentally sound leading a nation? #Fanatic #TryrantBuhari #Biafra #Hiphop #growthhacking
ht…",eastern|easterner|easterners|biafra,Haaya
436,3,I think I know why God took me to work in d Eastern part of 9ja for 14 years. I will b leading d hashtag on #BiafraExit we can't be equally yoked with narrow minded self inflated pig headed greedy morons. To even think that u consider d middle belt 2 join u tells how stupid u are,eastern|easterner|easterners|biafra,Haaya
730,0,"Singer, Chike Apologizes To Eastern Nigerians For Calling Them Primitive https://t.co/OiN0ew0cgs",eastern|easterner|easterners|biafra,Haaya
41,1,"@Onwukamartins2 Can't you see how stupid you are, so just because she is from your tribe she should be supported?.And you will be talking about Biafra but this same STUPID act that you are canvassing for brought us to where we are now. Ethnic bigotry is what has brought us to our KNEES",eastern|easterner|easterners|biafra,Haaya
306,1,RT @jim3love: @CNNbrk #Free #NNAMDIKANU and #Biafra. D vampire Moron-mmadu Buhari is a blood sucker . He is a vampire dat suck blood of inn…,eastern|easterner|easterners|biafra,Haaya
367,1,Thug comment: Remi Tinubu displays disgusting arrogance –Aisha Yesufu https://t.co/o5x45V2kVv via @@dailyblastng Biafra,eastern|easterner|easterners|biafra,Haaya
88,2,@Ibnbazo @SaharaReporters Innocent Fulani men indeed ... Stupid idiot ... Probably it father and mother committed the crimes ... Maluu!,fulani|fulanis,Haaya
322,1,@USSabiaIssues @BarcaUniversal You're just dumb. You're not smart at all. Because of my name you just assumed I'm Fulani. Why do dumb people like u like to tribalize anything. Arindin omo,fulani|fulanis,Haaya
1053,0,@donfuna2015 @renoomokri I guess OBJ and GEJ are Fulani since they didn’t restructure Nigeria,fulani|fulanis,Haaya
1058,2,"RT @MaziNnamdiKanu: Here is Borno State Governor Kashmir Shettima inspecting 103 #Fulani terrorists, murderers, rapists and arsonists on th…",fulani|fulanis,Haaya
714,2,"*Leader Of #IPOB Mazi Nnamdi Kanu Wrote?*

I want to let the roundly primitive Fulani Janjaweed puppets of British Neo-colonialism in Nigeria to understand that oppression never pays &amp; it comes with consequences. In 1964, you oppressed the West &amp; got Operation Wetie.* https://t.co/MagBEFZCkg",fulani|fulanis,Haaya
1055,2,"RT @snnbiafra: ""A very reliable source informed me that Fulani terrorists planned to attack the three communities of Oduma, Nenwe (both in…",fulani|fulanis,Haaya
424,2,"@nabash1983 @Coolgee12 @MobilePunch Ode, he meant real animal like pig, baboon, chimpanzee , etc fulani are most likely 80 percent animal , 10 percent cockroach and 10 percent human",fulani|fulanis,Haaya
1048,3,@bhig_wye This is a mixture of Ghanaian and fulani haqccent...inshrt the haqcent is turningoneown....,fulani|fulanis,Haaya
1049,3,"RT @Sundaylgbohoo: Fulani Don't Do Importation Business, But All Ports in Southwest are Headed by them, Enough is Enough.",fulani|fulanis,Haaya
1059,3,"@thollarkingz @realdazu @SaharaReporters Is like i heard u when u ar saying why did the fulani stay at bush that why cant them rent a house in town and live like other ppl, pls is this one also in the bush or town?",fulani|fulanis,Haaya
1035,0,RT @pwajok_jane: Plateau state Governor @sblalong  could not send Police men when the Fulani herds men were brutalizing and killing his peo…,fulani|fulanis,Haaya
179,1,"@KadariaAhmed @YeleSowore When myetti allah threaten that they must be given cattle colony or Nigeria will know no peace where was DSS &amp; other buhari's attack dogs?
Is it bc Sowore is not a fulani?
WE MUST CONDEMN THIS PRIMITIVE GOVT'S DOUBLE STANDRDS &amp; HYPOCRISY - ITS VERY DISGUSTING",fulani|fulanis,Haaya
222,2,@SaharaReporters Useless Fulani presidency.,fulani|fulanis,Haaya
1051,2,RT @realFFK: Thousands are slaughtered by Fulani terrorists yet Buhari has refused to arrest even one of the killers.7 Fulani are killed in…,fulani|fulanis,Haaya
768,2,@channelstv This coconut head is a bloody Fulani fanatic and will support their clan so anything that is meant to develop this country they don't want it.,fulani|fulanis,Haaya
295,3,"That's the only thing they know, money! You think you can threaten jack? He isn't like the morons fulani  you use as your prosars. Ode! Oponu #BaseOnWhat #Lekkitollgate  #Lekki https://t.co/Ve4IGovXjK",fulani|fulanis,Haaya
294,2,@MobilePunch Educate the moron Fulani janjaweed sir.,fulani|fulanis,Haaya
452,0,"RT @SaharaReporters: You’re Liars, Dan Fulani To Clerics Who Predicted Buhari’s Failure In 2019 | Sahara Reporters 
Dan Fulani said that it…",fulani|fulanis,Haaya
713,2,"@roddy5000 @TheNationNews It's very clear to me now, that you belong to a primitives generation of Fulani. Idiot",fulani|fulanis,Haaya
1038,0,"@godwin_german @JibrinIbrahim17 They should go and kill those that killed them or distroyed their farm product, instead of killing innocent Fulani and burning their houses",fulani|fulanis,Haaya
1041,0,"RT @Doublee_Kee: Below is Gimba Bulus Joseph of sabon gida Idon that was killed in his farm this afternoon by Fulani, he was on his farm 17…",fulani|fulanis,Haaya
601,2,"RT @acububad: @SaharaReporters They will now carry them to o e baale that is a Fulani bitch,and within an hour they have regained their fre…",fulani|fulanis,Haaya
176,3,@MBuhari I remember your words in BBC Hausa ....in your words that Dog &amp; Baboon will be soaked in blood. Because we practice democracy and freedom of speech ....nobody touched you. Your words &amp; actions at the time were treasonable but we all let go.,hausa|hausas,Haaya
1012,3,"RT @dr_khalidz: THUG NA THUG! Which one is Hausa Thug? This is the sort of narrative they have used to divide us for so long. Please, let's…",hausa|hausas,Haaya
1013,0,@RC1023FM  Are u saying no Hausa man has been fund guilty?,hausa|hausas,Haaya
1028,0,RT @ssaminu: A hausa man will not cheat you simply because you don't understand his language or practice his religion!????,hausa|hausas,Haaya
1018,3,"Northflix Manhaja ce da aka samar domin saukakawa masu sha'awar kallon finafinan Hausa a ko ina. 
Kafa ce ta musamman da mutane za su more kallo cikin sauki.

Sauke Manhajar Northflix daga Google PlayStore domin more kallon kayatattun finafinan Hausa yanzu. #northflixng https://t.co/L73IFT7IYp",hausa|hausas,Haaya
423,2,"@Aliyu033 @SaharaReporters @Twitter @MBuhari U are the realest Hausa pig, defending evil. Deal with ur bandits bfr coming here to spit trash cos u have 10mb data",hausa|hausas,Haaya
254,2,@akeula_trendy Those hausas have bastard money.,hausa|hausas,Haaya
679,2,"RT @teejay_132: Majority of hausa ladies are nothing but leeches, waiting to vulture on someone's moil, that's why they are ending up in a…",hausa|hausas,Haaya
1020,0,"RT @oil_shaeikh: First hand Reports getting to us from the Hausa refugees in Oyo, states that those under the care of the seriki home are f…",hausa|hausas,Haaya
124,2,@Egi_nupe_ @SaharaReporters @PoliceNG Who is this idiot? U should have copied the text and translate it to hausa that u understand before typing rubbish.... cockroach!!!!..mtchew,hausa|hausas,Haaya
1004,0,@iamwytunes Hausa,hausa|hausas,Haaya
545,3,"@AkinJide21 @emmanuelarinze2 @OniOlaniyi6 @MobilePunch Animal like you, why can't she go to mile 12 and face the  hausa people over there. The Iragbiji dynasty will soon be over",hausa|hausas,Haaya
1014,3,RT @The_Seeker76: This is why Miyetti Allah has been dragging innocent Hausa people into this matter. They know their cows don't mean SHIT!…,hausa|hausas,Haaya
575,2,@Ms_oji you irritate me... I wish I can express that in hausa language you slut,hausa|hausas,Haaya
1024,0,"RT @Mubarack_Umar: Situation report from Oyo State where complete market with shops owned by Hausa community, burnt down. Just think of thi…",hausa|hausas,Haaya
1026,3,"RT @NCDCgov: ""Kasancewa ta a gida shi zai zama kariya a gare ni da kuma al'umma baki daya""

Hausa actor @alinuhu shares an important messag…",hausa|hausas,Haaya
1015,3,RT @caramel__queen_: Wasu ma a gidan su sai ayi sati ko “okay” ba a fada ba! Amma sun zo twitter ba su hausa??,hausa|hausas,Haaya
696,0,"RT @vanguardngrnews: Herdsmen poison 6 lions, 74 vultures to save cows - As Nigeria tries to work out a way to solve the herdsmen-farmers c…",herdsmen|herdsman,Haaya
1233,3,"RT @renoomokri: •They see Boko Haram and they run
•They see herdsmen and they shun
•They see Peaceful, Unarmed  #EndSARS Protesters and the…",herdsmen|herdsman,Haaya
1227,0,"RT @Amaka_Ekwo: Soldiers kill vigilante, release arrested herdsmen in Edo https://t.co/B1u0HS5UQC",herdsmen|herdsman,Haaya
1238,3,"@ShehuSani Where there is white gold, there are herdsmen",herdsmen|herdsman,Haaya
410,1,"@aminu_maiwada @SaharaReporters @RotimiAkeredolu ""Herdsmen attack in Ebonyi today "" i did not want to say anything today, but your senseless comment dragged me, i hope you will shut that shit you call mouth up now https://t.co/qS1g0qs2W3",herdsmen|herdsman,Haaya
112,2,"@KBanky1 Idiot, you are part of the problem Nigeria is facing. Let your govt give the same energy they use to arrest Kanu to arrest other killer herdsmen, bandits and Insurgent. Shut up olodo, afi oyinbo oti ko mo.",herdsmen|herdsman,Haaya
471,2,This man is worst than a herdsman with an AK 47 a serial liar a betrayer the very scum youths should be wary of @MrAyeDee is self centered a** licking tart I can only imagine what @lindaikeji Endured from you. https://t.co/EKP8zTIvE5,herdsmen|herdsman,Haaya
777,2,"@Daverints_LFC @brizzyfoster22 Ethnocentrism, corruption,malice, religious fanatics,evil minded ,prosperity killers ,herdsmen,killings,stealing..#Nigerians..still happy am one of them....positive vibe ..#alwaysvotewisely.....be nigerian., Be patriotic and be positive",herdsmen|herdsman,Haaya
1242,0,"RT @cbngov_akin1: BREAKING
ANOTHER SUSPECTED HERDSMEN THAT ATTACKED SOLUDO ARRESTED IN ANAMBRA...

The suspects are:
1. Mbah Victor
2. John…",herdsmen|herdsman,Haaya
1240,2,RT @renoomokri: Herdsmen are the 4th most deadly terrorists according to the @GlobPeaceIndex. They have killed tens of thousands of Nigeria…,herdsmen|herdsman,Haaya
518,1,@NGRPresident @MBuhari When? Where?  And what have the stupid presido about the herdsmen.  To me this one is the main lie. Where is the video  where he condemn the killing?  Is twitter the place to condemn the death of more than 500 citizens. Fools will still vote in Nigeria,herdsmen|herdsman,Haaya
411,3,The presenter said his people are involve in the herdsmen shit.   LMAO  #NgTheCandidates,herdsmen|herdsman,Haaya
564,2,"@nigeriantribune As @AsoRock officials are counting animals, they should as well use this misplaced priority to count and register both local and foreign herdsmen operating in #Nigeria.

Seems they must spend and loot the earmarked monies for the deceitful #RUGA #RugaSettlements plans",herdsmen|herdsman,Haaya
1231,3,"RT @OfficialNiniola: If na herdsmen now una go form deaf. 

Protest now una neck stand. 
Rubbish.",herdsmen|herdsman,Haaya
775,2,"RT @kingkish: Buhari squanders public funds on tribalistic fanatics and murders calling them self repentant  herdsmen, bandits, ISWAP and B…",herdsmen|herdsman,Haaya
189,2,"RT @ChifeDr: This is a deliberate anti-Igbo dog whistle by the Attorney-General of the Federal Republic of Nigeria.

And it’s coming on the…",igbo|ibo|ibos|igbos,Haaya
799,2,@JEWISHIGBO Then I will give a million reasons why the Ibo are less than monkeys and baboons,igbo|ibo|ibos|igbos,Haaya
718,1,"@Classykay777 @_abdulrosheed @lurrenz2015 Kenny what answer do you need leave nepotism and embrace a millanium brain and stop been primitive, we are now in modern society. And do note alit of igbos work in this esterblisment",igbo|ibo|ibos|igbos,Haaya
1109,0,"RT @AkiMarlin: BEST VIDEO on the internet today ...

AdaIGBO digging it with her dance step ???

IGBO enwero obele https://t.co/lfWfC11Fom",igbo|ibo|ibos|igbos,Haaya
1098,0,"RT @Chukwunaeme1: Bishop T.D Jakes is so proud of his Igbo heritage. He spent time with BBC Igbo recently and here's what he told us.
@cchu…",igbo|ibo|ibos|igbos,Haaya
1126,0,"@princedavidokon Very untrue,  most Ibo's all over the country voted GEJ. Only few voted GMB @EmekaOkoye @Chude",igbo|ibo|ibos|igbos,Haaya
234,1,"@HQNigerianArmy 

Useless idiots! You can go to the East and do operation python dance, kidnap innocent Igbo youths from their homes and kill them hit you are here begging Boko Haram. Useless Nigerian Army! 
Na Python go swallow you evil ones! Bastards! https://t.co/HrPn7FjWVj",igbo|ibo|ibos|igbos,Haaya
233,0,"RT @AustinNwabufo: *if Atiku picks PIUS ANYIM as his VP candidate, Igbo professionals will turn against PDP, he Pius had been useless to th…",igbo|ibo|ibos|igbos,Haaya
461,2,RT @DryJokesNG RT @DryJokesNG: The first Nigerian that sold weed was from the South East. That's why it's called igbo. liar,igbo|ibo|ibos|igbos,Haaya
1115,0,RT @67Kelechi: FOR THE IGBO CULTURE ? https://t.co/yNTJp43SG7,igbo|ibo|ibos|igbos,Haaya
797,1,"@briandark Nigeria is not a country,but a Zoo filled with Monkeys and baboons.I was not surprised,Okorocha is a disgrace to Igbo nation.",igbo|ibo|ibos|igbos,Haaya
607,3,If I see one of those Igbo made Versace polo again am so gonna scream like a bitch !-),igbo|ibo|ibos|igbos,Haaya
358,3,@General_Oluchi a particular editor told a story of how Igbo corpers reacted when their garri was served in the same plate with the soup - they not only rejected it but they caused a lot of uproar and that was enough to change the paradigm. It is utterly disgusting.,igbo|ibo|ibos|igbos,Haaya
1132,2,@Tyeeekooon @timmyoflife Igbo man spreading fake news ?????,igbo|ibo|ibos|igbos,Haaya
1112,0,"@bukunmisimon @Jokotade_ng I buy stuff at Relief market Onitsha and I can remember how many times I have meet non Igbos in the market..some as sellers and others as buyers. Just so you know, a market with Igbo majority will have other tribes learn Igbo just to do business with Igbos in the market.",igbo|ibo|ibos|igbos,Haaya
1107,0,Lol. See BBC Igbo News’ caption of a new statue of ‘Buhari’ reportedly set to be to unveiled by Governor Okorocha https://t.co/UyYEXT9Kep https://t.co/00ZBUt4J1p,igbo|ibo|ibos|igbos,Haaya
427,2,@APCNigeria @inecnigeria Alhamdulillah the almajiris have make it de cows defeat de pigs(Igbos),igbo|ibo|ibos|igbos,Haaya
98,3,“Even if you don’t learn yahoo at least learn how to roll Igbo” - one idiot,igbo|ibo|ibos|igbos,Haaya
271,1,@ADROCKSTama1077 @AnayoUranus @DailyPostNGR Oga go to hell and rot... The only bastards that will agree Igbos aren't marginalised are the idiots working for that fool Buhari and then maluus like u and ya papa... Come to the east and repeat that trash make God punish ya mama.,igbo|ibo|ibos|igbos,Haaya
508,2,"@atiku Fool, Big for noting thief. Its Ibos who are lovers of money that u can buy. A billion naira of urs can never buy my one vote and millions of my brothers here in the north. Bring our money for us Saraki aide to US. Shameless thief. Barawo kawai.",igbo|ibo|ibos|igbos,Haaya
751,1,@OlubunmiAss @OfficialOzoBBN @OfficialOzoBBN no get brain at all. Na bum freak you out. You lost the money to Laycon. You no be real Igbo guy. SMH,igbo|ibo|ibos|igbos,Haaya
299,1,RT @thecableng: Soyinka: I never attacked Igbo over election… whoever believes I did is a moron http://t.co/N7LfDjMxst via @thecableng,igbo|ibo|ibos|igbos,Haaya
1105,0,"RT @Tspiceskitchen: Which tribe has the best Soups in Nigeria? 

Fr, Ibo soups are lit!! 

Peep the 5 different types of local Soups You'll…",igbo|ibo|ibos|igbos,Haaya
398,3,OMG!!  I thought it was exaggeration... Na oja-igbo be this.. Shit is Real https://t.co/knM57YjeQi,igbo|ibo|ibos|igbos,Haaya
426,3,"@AdaIdemili @acresofsaphire @chikwado_ @PsalmChelsZ @allibaloo @irokotv If it is only the military that are getting killed like U are saying , that means no IPOB pigs has been killed by Naija 

Then why the noise , cries and propaganda that military are killing igbos ?",igbo|ibo|ibos|igbos,Haaya
1122,0,"An Igbo lady, sat together wif †??? men in Golden Tulip Bar in Lagos ?nð waiting †??? be served.... Ð barman came... http://t.co/RBspmx2L",igbo|ibo|ibos|igbos,Haaya
460,1,@BrynxyFarms @bubuigbo @GoziconC Big liar. Zik won in the East till he quit politics. He produced Mbakwe and Jim in 1979. Okadigbo never lost an election he contested as a person. Stop spreading rumors and lies built on your hatred for igbos.,igbo|ibo|ibos|igbos,Haaya
1125,0,RT @General_Somto: 6 Million Igbos Were Massacred In A Genocidal War By The Nigerian Govt With The Help Of Britain Targeted At Eliminating…,igbo|ibo|ibos|igbos,Haaya
1114,0,"RT @iykimo: Ndi Igbo , who amongst these govs is the most competent in South East at the moment?",igbo|ibo|ibos|igbos,Haaya
199,3,"@LagosTalks913 #itsokaywithokey my God who look stunning... Abeg sing for me, na my first time to tweet be dis, gay dogs hoooooow are you!",lgbt|lgbtq|lgbtq+|gay|gays|lesbian|lesbians|transgender|transgenders,Haaya
276,2,@exotiqu33 And all the Beautiful faces in we have in Nigeria some Bastard idiots still choose to be Gay....This life no just balance I swear??????,lgbt|lgbtq|lgbtq+|gay|gays|lesbian|lesbians|transgender|transgenders,Haaya
693,1,"Please avoid my ""back"", I'm not gay. In any case, people like you end up being fed to vultures https://t.co/Xbjqia5P8E",lgbt|lgbtq|lgbtq+|gay|gays|lesbian|lesbians|transgender|transgenders,Haaya
1185,2,@fayookunmi He gay,lgbt|lgbtq|lgbtq+|gay|gays|lesbian|lesbians|transgender|transgenders,Haaya
1220,2,"Gays and Lesbians, We Will Not Keep Quiet, By Philip Amiola

Homosexuality must be resisted with righteous fury,... http://t.co/FREQTi709F",lgbt|lgbtq|lgbtq+|gay|gays|lesbian|lesbians|transgender|transgenders,Haaya
106,2,RT @Sistasoul: RT @kotibotor: You're an idiot RT @SchBoye: You're slapping God in the face if you're GAY.. RT if you hate it too,lgbt|lgbtq|lgbtq+|gay|gays|lesbian|lesbians|transgender|transgenders,Haaya
1223,0,RT @ilovebigtits_: so sexy #lesbian http://t.co/Dnt7CWmI,lgbt|lgbtq|lgbtq+|gay|gays|lesbian|lesbians|transgender|transgenders,Haaya
613,2,"Ok dats nu... M proud ""@ajepintos: @adiari_ get Ur gay ass outa here retarded wanking bitch""",lgbt|lgbtq|lgbtq+|gay|gays|lesbian|lesbians|transgender|transgenders,Haaya
407,0,@chukaobi @tendrack @thekashope @ilynem @whoishabyb ???? remembered when he couldn’t bring himself to believe he was gay. Nigga buried that shit in his deep subconscious,lgbt|lgbtq|lgbtq+|gay|gays|lesbian|lesbians|transgender|transgenders,Haaya
1217,2,@talkofnaija: Gays And Lesbians Should Repent And Turn To God – Pastor Adeboye... http://t.co/n0dGfzkg,lgbt|lgbtq|lgbtq+|gay|gays|lesbian|lesbians|transgender|transgenders,Haaya
691,1,"these media abi na amebo distribution corporations are really vultures.
wow. 
looking for dead meat anywhere and everywhere.
sorry oh but we the gays are more alive now than ever.
you call lesbian like it’s shame.
but it is you 
that has no honor.",lgbt|lgbtq|lgbtq+|gay|gays|lesbian|lesbians|transgender|transgenders,Haaya
110,2,"You call me an idiot, i forgive u you call me an asshole, its all good BUT THEN U CALL ME GAY!!!!!???? OBOI!!! LEVELZ DON CHANGE #Aboki",lgbt|lgbtq|lgbtq+|gay|gays|lesbian|lesbians|transgender|transgenders,Haaya
239,3,"My useless husband is gay and married me to save face and to ruin my own life. Samson I told you I will disgrace you until you run mad. I will continue to post this pictures in all social media platforms. 
See the monster and his partner in the act. 
https://t.co/69ave0bkjK",lgbt|lgbtq|lgbtq+|gay|gays|lesbian|lesbians|transgender|transgenders,Haaya
335,3,"First i saw ""GAY"" and then i tried to unsee that and then i looked again and saw ""DUMB""... 
Just imagine my frustration...
First of all i want to understand..., based on which theory... ?? https://t.co/crAmeZibcS",lgbt|lgbtq|lgbtq+|gay|gays|lesbian|lesbians|transgender|transgenders,Haaya
469,3,"Nne, i wu onye ashi o... you opened your dirty mouf to cap this kind of thing effortlessly? 

Where do gay men express themselves and do what most straight men can’t do in Lagos? Do nt try to cover up ur homophobia by being a liar! Was it not in Lagos they beat someone last week? https://t.co/MhZbLSsdGD",lgbt|lgbtq|lgbtq+|gay|gays|lesbian|lesbians|transgender|transgenders,Haaya
1194,2,"@thealvinboss @__Readone @OfficialRdunt Yea pessi and the coach, they probably got some secret Argentina gay thing going on",lgbt|lgbtq|lgbtq+|gay|gays|lesbian|lesbians|transgender|transgenders,Haaya
637,2,"@fjtassone2 @smcdonn4499 @NanHouston1 @mary_pezzulo @thoughtandact @spincity615 @AngelaRasmussen @Pamela_Yap He preaches sugar coated gospel about how Jesus would have supported that community when we all know it is a lie, you can't be a whore and proud then Jesus will support you, you can't be gay and proud then ask for Jesus support. The truth should be told, undiluted.",lgbt|lgbtq|lgbtq+|gay|gays|lesbian|lesbians|transgender|transgenders,Haaya
1204,0,"@PremiumTimesng ARE YOU IN NEED OF A RICH WEALTHY SUGAR MUMMY/SUGAR DADDY/GAY AND LESBIAN PARTNER ANYWHERE IN NIGERIA,WHATSAPP ME, +2348138108077..",lgbt|lgbtq|lgbtq+|gay|gays|lesbian|lesbians|transgender|transgenders,Haaya
1222,0,RT @vincentdesmond_: #JournoRequest: I am looking to interview queer people living in Nigeria who have had any experience with gay conversi…,lgbt|lgbtq|lgbtq+|gay|gays|lesbian|lesbians|transgender|transgenders,Haaya
614,3,Gay ass pretty bitch ? https://t.co/8g0AgIBgOP,lgbt|lgbtq|lgbtq+|gay|gays|lesbian|lesbians|transgender|transgenders,Haaya
