index,class,text,ethnic_keyword,christian|christians,muslim|muslims|islam|islamic,northern|northerner|northerners|arewa|almajiri,southern|southerner|southerners,hausa|hausas,fulani|fulanis,yoruba|yorubas,igbo|ibo|ibos|igbos,women|woman|girl|girls|female|females,lgbt|lgbtq|lgbtq+|gay|gays|lesbian|lesbians|transgender|transgenders,herdsmen|herdsman,eastern|easterner|easterners|biafra,name,,
75,3,"@TheMrnass @MFaarees_ Terrorist parasite

I am IPOB and not a terrorist 

Go and enjoy your Fulani herdsmen alone 

We don't want even the peaceful ones

Let my people go @UN @UKParliament

#Igbo
#ProIPOB
#LetMyPeopleGo

IGBO IPOB ESN BIAFRA SOUTH EAST",fulani|fulanis,,,,,,,,,,,,,Haaya,,
192,0,"@MusaYakubuMust2 @MaziNnamdiKanu Be careful with your words, igbos didn�t do shit. The first coup was carried out by different set of people from different ethnic groups, the three coups following that were carried out by the Hausa/Fulani.",fulani|fulanis,,,,,,,,,,,,,Haaya,,
492,2,RT @UncleRajj: Fulani girls are so unproblematic! But you see the men them! Wahala!,fulani|fulanis,,,,,,1,,,1,,,,Haaya,,
526,0,"RT @Beautiful_Nubia: We're supposed to think that the problems with Nigeria are killer Fulani herdsmen, rabblerousing Yoruba thug-statesmen�",fulani|fulanis,,,,,,,,,,,,,Haaya,,
314,2,"9 Fulani herdsmen gang-rape 15-yr-old girl, 2 housewives http://t.co/CMMUGqilfh",fulani|fulanis,,,,,,1,,,,,1,,Haaya,,
292,3,@maikwagga @NigeriaNewsdesk @NaijaNews The man who paid fulani herdsmen �nd called southern women whores..it is worth the explosion,fulani|fulanis,,,,,,,,,,,,,Haaya,,
503,2,"RT @highbeely: Since Buhari doesn't know what to do, someone has finally provided solution to the menace of Fulani herdsmen ? https://t.co/�",fulani|fulanis,,,,,,1,,,,,1,,Haaya,,
24,0,"I absolutely agree with this, can we also agree that
1. Not all men are scum
2. Women aren't always right
3. Not all fulanis are killers
4. Not all Igbos are cunning
5. Not all Yorubas are demons
6. Not influencers have sense https://t.co/VBkArWNdM4",fulani|fulanis,,,,,,,,,,,,,Haaya,,
495,0,"Outrage As Fulani Herdsmen Massacre 36 Benue Residents, College�Students https://t.co/oyutYETC5q",fulani|fulanis,,,,,,,,,,,,,Haaya,,
518,2,"RT @Real_AmakaIke: �I�ll no longer announce the deaths of those killed by Fulani herdsmen, rise up &amp; defend yourselves with weapons not pro�",fulani|fulanis,,,,,,1,,,,,1,,Haaya,,
490,0,"RT @Engr_Series: Fulani herdsmen allegedly killed over 15 people, burnt down several vehicles, as well as the palace of a Traditional ruler�",fulani|fulanis,,,,,,,,,,,,,Haaya,,
520,0,"Photos: Fulani herdsmen attack Agatu LGA in Benue, killed many, set village ablaze, view at https://t.co/RLdyfZRg0f",fulani|fulanis,,,,,,,,,,,,,Haaya,,
98,1,@trueNija @SaharaReporters it's APC that unleashed boko haram and their fulani herdsmen on us. APC is playing DOGS and BABOONS politics,fulani|fulanis,,,,,,,,,,,,,Haaya,,
533,0,"RT @henryshield: It�s amazing. Sunday Igboho�s only crime was asking that Fulani herdsmen stop killing his people. 

That�s why security fo�",fulani|fulanis,,,,,,,,,,,,,Haaya,,
279,3,@ubedison @Wahrheitnur1 @surestsemi @Jennife05521126 @pedroObiRsm @UchePOkoye @DoDeRightThing What is this one talking about? You much be living under a rock or just plain ignorant to think igbos have no history or culture. The other things you stated makes no sense and you�re just blabbing at this point. Igbos refuse to be bitches to the Hausa/Fulani unlike the rest.,fulani|fulanis,,,,,,,,,,,,,Haaya,,
25,3,RT @AbangMercy: PDP Candidates = Ijaw + Hausa/Fulani - APC Candidates = Hausa/Fulani + Yoruba &amp, a faceless scum of the earth calls for IGBO�,fulani|fulanis,,,,,,,,,,,,,Haaya,
137,2,"@rahsaq1 @mrmacaronii Oponu aiye, anyone bearing Ibrahim is an Hausa/Fulani, uncivilized bastard.",fulani|fulanis,,,,,1,1,,,,,,,Haaya,,
312,2,RT @Amaka_Ekwo: ACF should go and tell their Miyetti Allah and Fulani Herdsmen that are killing and raping our women in the farm to leave o�,fulani|fulanis,,1,,,,1,,,,,1,,Haaya,,
514,3,"RT @ayo_omoajao: Earlier today, fulani herdsmen terrorized orile-odo along Oluyole local government Headquarter idi ayunre area in the midn�",fulani|fulanis,,,,,,1,,,,,1,,Haaya,,
43,2,"@okotie_vera @ShehuSani You are very stupid, an undesirable idiot, Fulani are not the course of any conflict the southerners are because of their greedy and selfishness. You want dominate the country so you start hating the Fulani after that the northern, we know all that you plan.",fulani|fulanis,,,,1,,,,,,,,,Haaya,,
494,0,"RT @gistaroundyou: Fulani herdsmen attack travellers on the Ibadan to �j�b�-Ode express way on Wednesday, June 9, 2021

Arise tv #EndSARS l�",fulani|fulanis,,,,,,,,,,,,,Haaya,,
247,1,@JosephFabulous3 @yinkaisola14 @hazelpawa @aproko_doctor You are the one that doesn't have sense with the dumb statement you made. Point out the hausa or fulani name in my name and i will give you 20k right now. Useless animal,fulani|fulanis,,,,,,,,,,,,,Haaya,,
8,0,"Proudly a Hausa Fulani... lemme hear any body saying Hausa this Hausa that... I swear I will keep my home training aside n deal with anyone to d bastard level... am not dumb, dull or stupid... let�s go https://t.co/TTMpEmcrcK",fulani|fulanis,,,,,,,,,,,,,Haaya,,
235,2,"@xexiboy2 @TVCconnect You got it right,  he's looking for malam, fulani herdsmen, and core northerners to replace him, that bad, they're too fanatic, and religious as well, fools, don't mind them, justice will take place someday in this nation...",fulani|fulanis,,,,,,1,,,,,1,,Haaya,,
517,0,"RT @ChinasaNworu: #Fulani herdsmen kidnappers  at work in Okigwe Imo state , the governors cannot use their Ebubeagu to curtail this Fulani�",fulani|fulanis,,,,,,,,,,,,,Haaya,,
523,0,RT @GovAyoFayose: I don't have anything against the Fulanis &amp, the herdsmen among them. But let me state it expressly that Ekiti will not su�,fulani|fulanis,,,,,,,,,,,,,Haaya,
531,2,"@MBuhari @ProfOsinbajo @realDonaldTrump @bukolasaraki @YakubDogara @ecowas_cedeao is silent, @NGRSenate and @HouseNGR are silent, @KremlinRussia_E is silent, @APCNigeria is silent, @OfficialPDPNig is silent, @AbundantNigeria is silent, @theresa_may is silent. The whole world is indeed silent until FULANI HERDSMEN wipe us off the earth.",fulani|fulanis,,,,,,1,,,,,1,,Haaya,,
233,2,"@alaokayode @channelstv @MoghaluKingsley @obyezeks @osita_chidoka Fool.
Oponu oshi.
Fulani demonic herdsmen aka bandits kidnappers kill and rape farmers in ogun,oyo,ondo etc,the federal government protects them.
Villagers in ogun state are idp's in Benin Republic,and you are here talking rubbish.
Omo ashawo oshi.
Eru oshi.",fulani|fulanis,,,,,,1,,,,,1,,Haaya,,
497,0,"U.S Says Fulani Herdsmen More Radicalized, Blames It On Poor Governance, Population Growth. - thenewnarrativeonline https://t.co/f7WZjcERBI",fulani|fulanis,,,,,,,,,,,,,Haaya,,
499,1,"Gov Ortom is eyeing tenure extension throughout the backdoor by using his pet project, FULANI HERDSMEN!???. 
The bobo will be shock if he finds out that he will have to handover to a successor on May 29th, 2023???! His eyes go clear, one time! https://t.co/B1I1KgQLdt",fulani|fulanis,,,,,,,,,,,,,Haaya,,
179,2,@waterowei @adaohah @AishaAm81190097 @GuruHvac @GreatAtagana @MobilePunch Don't mind them. The way they feel entitled is disgusting. Saw one saying that fulani northerner will rule Nigeria till 2031 and dere is nothing no one can do. Disgusting fellows.,fulani|fulanis,,,1,,,1,,,,,,,Haaya,,
232,2,"Silence is d best ans 2 a fool lk @Lovekeke4Keke: greedy islamic hausa/fulani wrote 2 Mr. President, U idiot, U thought we dnt know @elrufai",fulani|fulanis,,1,,,1,1,,,,,,,Haaya,,
401,3,"@Vincent_Nna Oh Jesus!
The Sun will rise where again???
Like you want to feed them again by 2021?
If this is not coconut head'edness then it's iron head.
Sorry for this huge loss brother.
There are lots of land in the South, Fulani can never have dominion over Yoruba and Igbo land. Sorry nnaa",fulani|fulanis,,,,,,,,,,,,,Haaya,,
191,2,"Twitter family, Fulani herdsmen don reach my place for Ibadan ohhhhh , nobi joke again oh, they were repel by area guys at around 12 this morning, this shit is real.",fulani|fulanis,,,,,,1,,,,,1,,Haaya,,
222,2,"Buhari disgraces Nigeria again in Washington; says killer Fulani herdsmen are from Libya, what a pathetic, old liar of a president. @realDonaldTrump do what @BarackObama did to @GEJonathan in 2015 for us, use your power and dethrone Buhari for us in 2019! #PMBinDC #Trump",fulani|fulanis,,,,,,1,,,,,1,,Haaya,,
248,2,"@MaziNnamdiKanu Former @HQNigerianArmy now fulani Army stock in trade is raping of women, we have seen that with their fulani herdsmen, fulani bandits and fulani bokoharam. Even animals get consent of females, meaning fulani Army are less than animals.",fulani|fulanis,,,,,,1,,,,,,,Haaya,,
508,3,"RT @temmeyslim: Abuja protesters please leave Airport Road immediately,a full truck of fulani herdsman just passed me headed that way
#EndS�",fulani|fulanis,,,,,,,,,,,,,Haaya,,
527,3,"RT @MoIbrahimEsq: My grandpa used to own a big ranch in Iseyin till Fulani herdsmen murdered him. Said the ""cow-rearing"" business was their�",fulani|fulanis,,,,,,,,,,,,,Haaya,,
61,3,"@seyiamakinde Dear Gov,@seyiamakinde you are celebrating the arrest of an alledged kidnap Fulani syndicate leader! Good
Sir, are you are the Iskilu Wakili is a 75 years old man that is BLIND? So frail that am sure he can't organize a cockroach hunt
As a Yoruba man, try to be smarter than this",fulani|fulanis,,,,,,,,,,,,,Haaya,,
23,2,@realDonaldTrump Hello Mr. President. May you live long and blessed always. I know u have a lot on your plate right now with issues in the US. But pls try to use your good office and power to influence some changes in Nigeria as it relates the rape of Christian women in the hands of fulani scums.,fulani|fulanis,,,,,,1,,,,,,,Haaya,,
77,2,"I think the fulanis are now an endangered species.

They succeeded in destroying the Hausa destiny as parasite in a host.

They have pushed their luck too far and have ran out of luck.",fulani|fulanis,,,,,,1,,,,,,,Haaya,,
496,0,"RT @SaharaReporters: Fulani Herdsmen Storm @ekitistategov Forest Reserve, Destroy Multi-million Naira Maize Farm |Sahara Reporters 
Those h�",fulani|fulanis,,,,,,,,,,,,,Haaya,,
516,2,"@ayi_baba @FndCRES @Nigeria_4eva @zefedi @ogundamisi For many years now he has consistently called out the clear and present danger of rampaging fulani so-called herdsmen leaving death and destruction in their wake. If only more people took him seriously early enough.
He has been a voice for the voiceless. That's how.",fulani|fulanis,,,,,,1,,,,,1,,Haaya,,
151,3,"RT @ObiomaBiafra: @KATSINAconnect MORON is chibuike amaechi a hausa fulani, abi is Ebele jonathan hausa? Abia,imo,anamb in nddc? I'm from d�",fulani|fulanis,,,,,,,,,,,,,Haaya,,
528,2,"RT @iykimo: Why are people afraid to mention the groups and people responsible for food inflation?

Fulani herdsmen grazing on farms and ki�",fulani|fulanis,,,,,,1,,,,,1,,Haaya,,
511,2,"RT @Amaka_Ekwo: EWU! ? 

Go and tell that to your Boko-Haram, bandits and terrorist Fulani-Herdsmen

#BiafraExit #OduduwaExit

We demand a�",fulani|fulanis,,,,,,1,,,,,1,,Haaya,,
332,2,"Alert ?! 
Biafran Land Now Under Hausa/Fulani?/Yoruba Siege! 
Right Now, Hundreds Of Thousands Of Hausa/Fulani People ????? Are Converging Into The Blessed Land Of Biafra Like Scavenging Vultures  Ahead Of Biafra Referendum Coming Up On 16Th February Sat 2019 To Create Confusion https://t.co/DLhxWblQD6",fulani|fulanis,,,,,1,1,1,,,,,,Haaya,,
524,0,"RT @MrStanleyNwabia: Benue's passage of its bold &amp; quite progressive Anti-grazing law was sure to make it a target for Fulani Herdsmen. 
Si�",fulani|fulanis,,,,,,,,,,,,,Haaya,,
95,2,"RT @Amaka_Ekwo: @AmnestyOnline
Hausa/Fulani D hunting dogs for Britain D'Shameless Slave Masters killers of Africans
#FreeNnamdiKanu https:�",fulani|fulanis,,,,,1,1,,,,,,,Haaya,,
522,0,RT @realFFK: The Nigerian Senate has said that Boko Haram are operating under the guise of being Fulani herdsmen.They are finally opening t�,fulani|fulanis,,,,,,,,,,,,,Haaya,,
491,0,"RT @Shoppyanno: Late Stanley Nwabia on the Fulani Herdsmen

Sunday Igboho Ondo Biafra https://t.co/pvHu6bn2SL",fulani|fulanis,,,,,,,,,,,,,Haaya,,
234,2,"@Egonduokorie You must be one of those ASHAWO that sleep around with almajiri fools in the Northern, Nigeria. The man who is responsible for your birth must be Fulani from Mauritania for you to say this Mazi Nnamdi Kanu.",fulani|fulanis,,,1,,,1,,,,,,,Haaya,,
519,2,RT @nigeriantribune: Fulani herdsmen shouldn�t cause war in Nigeria https://t.co/X7BdkvGe9a,fulani|fulanis,,,,,,1,,,,,1,,Haaya,,
510,0,"RT @SaharaReporters: Herdsmen Invade Ogun Community, Hunters, Agitators Retaliate, Burn Down Fulani Settlement | Sahara Reporters
It was ga�",fulani|fulanis,,,,,,,,,,,,,Haaya,,
534,2,"RT @renoomokri: Why is the world�s attention focused on Syria? In Nigeria, killer Fulani herdsmen have killed thousands of Nigerians in the�",fulani|fulanis,,,,,,1,,,,,1,,Haaya,,
7,2,"@SundayIgbohoo Why did Yoruba stand against the Igbos in the fight against subjugation by the fulani cattle herdsmen?
The sequence will certainly follow through, when they finish with one part, they will move to another until their stupid vision to take over all the land in Nig is achieved.",fulani|fulanis,,,,,,1,1,,,,1,,Haaya,,
536,2,@abati1990 I remember the viral video of Fulani herdsmen mating cows and donkeys...who knows how many pregnant cows and donkeys are carrying children for their Fulani husbands......?,fulani|fulanis,,,,,,1,,,,,1,,Haaya,,
136,2,God has blessed the Igbo race and not u nor the Fulani bastards you lick their anus can reverse that. Onye nzuzu! Dr ndi iberiberism ? https://t.co/3m1XjFND7g,fulani|fulanis,,,,,,1,,,,,,,Haaya,,
60,3,"Nigeria Army can send their men to give IPOB mmbers phyton dance but cannot send their men to give Fulani herdsmen common cockroach dance.
@NGRWailers @WazobiaFMAbuja",fulani|fulanis,,,,,,,,,,,,,Haaya,,
509,2,"RT @General_Somto: For Days Now, The Nigerian Armed Forces Has Failed To Arrest Or Track Down The Killer Fulani Herdsmen That Slaughtered O�",fulani|fulanis,,,,,,1,,,,,1,,Haaya,,
355,2,"@fatee_b_ Is the generality believe of a section behaviour, just as we believed one section or zone of the country like money if he or she do otherwise, you will hear �Most� yenyenen or pure Hausa girl put on Bum short and crop top on the street of kano to cinema u will hear most yenyen..",hausa|hausas,,,,,,,,,1,,,,Haaya,,
42,2,@BashirAhmaad Hausa people una be mugu. Nor be me and una for this country. I can�t subject myself to be ruled again by a clueless northern idiot like Buhari. I reject it,hausa|hausas,,,1,,1,,,,,,,,Haaya,,
469,0,"RT @yaassyr: Neither Igbos, Yorubas nor Hausas are trying to start a war. Truth is there are a few bad people among us all, having grudges�",hausa|hausas,,,,,,,,,,,,,Haaya,,
190,1,@Royalty7th @atiku @officialmaimuna So if am jobless Hausa goat I bet u are worse Dan me.incompetent lame bitch..yhu just sit in ur various dirt cribs Nd open ur disjointed mandible stinky pig.i just pity d parent dat gave birth to u.wast of sperm.u all underestimate we d northerners.i take shit frm nobdy,hausa|hausas,,,,,,,,,,,,,Haaya,,
264,0,"Tbh, generalising is condescending, be sensible enough to know that people differ... Not all men are scum. Not all women are sluts. Not all Igbos love money or rituals. Not all Yorubas are sly or dirty. Not all Hausas are killers or almajiris. People differ, get to know them 1st.",hausa|hausas,,,,,,,,,,,,,Haaya,,
148,0,"When Ochereome Nnanna, the chairman of the Vanguard Editorial board was spewing his hatred for Hausa/Fulani nobody cares to caution him, not even the people he now calls ""Sophisticated Morons"", which were mostly his audience.",hausa|hausas,,,,,,,,,,,,,Haaya,,
465,0,"RT @_AsiwajuLerry: The Politics being played with people�s lives in Oyo state is unethical. Tribal war is breaking down, Hausa &amp; Yoruba are�",hausa|hausas,,,,,,,,,,,,,Haaya,,
6,3,"@jidesanwoolu @HQNigerianArmy calling on your stupid bosses ? and them Hausa/Fulani community that�s saying fake news And shit 
My time - we�ll end all this bs and injustice in our nation once and for all OnGod",hausa|hausas,,,,,,,,,,,,,Haaya,,
246,2,"Has the Idiot Arewa Youths, Daura, Osinbajo, Adeboye, Buratai, Lai Muhammed and all other Morons in APC &amp; Northern Nigeria seen this video? Biafrans are HUMANS, Hausa/Fulani's are Animals with the heart of Lucifer. @nassnigeria watch and withdraw your hate bill. We need Boko bill https://t.co/7rqmTaVOPp",hausa|hausas,,,,,1,1,,,,,,,Haaya,,
309,2,"@Sarheeb @olayemi_123 @nurabello_ If your brothers who are hausa/fulani herdsmen enter our farm lands destroy our crops, kill our farmers, rape Mother's and daughters, and threaten our lives, and you expect us to keep quiet and fold hand. You can try that in the east and south south again. We are fully ready now.",hausa|hausas,,,,,1,1,,,,,,,Haaya,,
134,2,"@Abdultyza @channelstv But wat why is this idiot hausas guy talking about yoruba, it seems like your brain av shifted down to your anus, bastard, face your tribe omo ale",hausa|hausas,,,,,1,,,,,,,,Haaya,,
472,0,"RT @Waspapping_: That was how one thick Hausa girl was calling my boy Emmcap fine boy, all because he's tweeting from iPhone lmaooo she had�",hausa|hausas,,,,,,,,,,,,,Haaya,,
93,0,"Imagine that an Hausa/Fulani man, boldly wrote on the body of his dog or  ram, d name ""NNAMDI KANU and paraded same in d Onitsha Main market",hausa|hausas,,,,,,,,,,,,,Haaya,,
459,2,"suddenly,
Fulani herdsmen are no longer attacking villages;
All Fulanis are no longer killer herdsmen;
Hausa Fulanis are no longer ""Born to Rule"";
Islamizing Nigeria is no longer being revealed to the politicians on... https://t.co/ru6E5fpIS0",hausa|hausas,,1,,,,1,,,,,1,,Haaya,,
290,2,@AliBatanofGombi @Sarkodie______ Because Hausa girls don't jump from one man to another that's why we aren't romantic. But u can go and grab those street whores that are more romantic than hausa girls.,hausa|hausas,,,,,,,,,1,,,,Haaya,,
477,0,@iamcardib U just look like hausa fulani,hausa|hausas,,,,,,,,,,,,,Haaya,,
5,2,"@Jolaoye_Coal @dhaApex_ @Kassie_Usman I now understand that the stupid Yorubas&amp;igbos are not fighting the whole north but only Muslims&amp;HAUSAS, but I dare challenge you to come outside on the street of arewa to protests for him and see what will happen to you not shouting on Twitter bastard fellows",hausa|hausas,,,,,,,1,1,,,,,Haaya,,
486,0,"RT @mrmacaronii: The Hausa man is my brother, so is the Igbo man and The Yoruba man. We are all one. The Government and the Government alon�",hausa|hausas,,,,,,,,,,,,,Haaya,,
398,0,"If they can do their politicial campaigns in Igbo, Hausa and Yoruba etc then what's stopping us. Let's show them what this coconut head generation is capable of doing ?

#EndSARS https://t.co/ktFJSKAv8t",hausa|hausas,,,,,,,,,,,,,Haaya,,
