"index","labels","new_labels","text","score","predicted"
153,0,3,"@realFFK It has been long since I realized @Femi is a moron...
Of course president can suspend MTN,DSTV n SHOPRITE?But the question is what are the consequences?
Do you know the  majority of Nigerians working in such companies are southerners?
MTN----Yoruba (Obj engineered everything)
?","[0.26236907421196004, 0.7376309257880399]",1
307,1,3,"I hope all the muslims that joined the protest march at COZA will not be mad when Christians do the same at the mosque when a mallam defiles a young girl. #COZASAGA","[0.9389688799140025, 0.06103112008599752]",0
401,0,3,"@balahassanu @Fulani_Tutor @ShehuSani @atiku @Bellomatawalle1 When ur ppl are busy calling other ethnic groups ARNE ,Christian missionaries are busy wining many hearts of Fulanis in d bush!
A lot of their youths can't recite Suratul fathia .
This must be our collective sacrifice to win their hearts back to God! https://t.co/6FncrZWOaj","[0.2392604615485383, 0.7607395384514617]",1
275,1,0,"RT @Imoladayo: @aproko_doctor This happen to a friend of my friend along Akure owo road today they were shot at by Fulani herdsmen thank Go…","[0.9278224234919353, 0.07217757650806453]",0
475,1,3,"@gimbakakanda I think this stereotypes flowed down from the travails of the civil war, in a period when leaders from all regions sought to demonize other regions, to their people. Same applies to the way Hausas use Nyamiri and Beereebe. Racism and hate are built on such foundations.","[0.9338543242032589, 0.06614567579674105]",0
61,1,3,"Sorry soke werey (yoruba)
Kwupu okwu onye nzuzu (igbo)
Kara murya (hausa)
Are there more??😐
#EndSARS","[0.9422415599230227, 0.05775844007697714]",0
417,1,3,"@mkadamu3 Ashe Igbo ce, nyamiri?

A ina taji Hausa haka.","[0.9028668338232754, 0.09713316617672481]",0
150,1,0,"Leak Fotos: Angry Igbo Guy Uploads Photos Of Ashewo Girl He Did It With http://t.co/E2jMkRl2Hf","[0.9396369938451296, 0.06036300615487025]",0
320,0,3,"Oga ku da kuke Malamai ya kamata kuke waazi yasin. The love for one another is nomore and they’re all Muslims. To the extend people are insulting others parents openly. Calling themselves gays subhannallah openly https://t.co/fzNHNbUFc1","[0.14700328269937427, 0.8529967173006259]",1
270,1,0,"The man from Kano regard himself as bakane. The man from Zaria was bazazzage. The man from Katsina was bakatsine. The kingdoms were at war with each other. They were Hausas, they were Muslims, they were killing each other. The Yoruba were Ijebu, Owo, Ijesha, Akoko, Egba.","[0.9412774461450881, 0.058722553854911964]",0
156,0,3,"#AbujaPoliceRaidonWomen Nigeria no get any law wey say make pesin no  wear skimpy cloth enta club go jollificate or  do ashawo.
 
But for northern state wey dem di practice Islamic Penal code, e dey illegal plus all those madams dem wey di cari under age pikin dem to do ashawo","[0.14872593135119094, 0.8512740686488092]",1
235,0,3,"Mumuni Kabiru Omar popularly known as MKO was finally posthumously declared as one of Nigeria's President after the unfortunate incident that saw his election in 1993 upturned. The Muslim Fulani Northern Dictator did this as he has been suspected to be a tribal bigot! https://t.co/BbsMZd7kvX","[0.24789637804016815, 0.752103621959832]",1
191,0,1,"@FolaFlows @Stacey_Chinny @Heis_Marsive @instablog9ja Ask an igbo man the meaning of Aturu. Aturu i read that slow and can't to the conclusion that the girl in person is too bitter to drag her father outside just for the irresponsibility of her partner or child son. You are just another dumbolina to try to defend such character....","[0.18937113402841968, 0.8106288659715803]",1
190,1,0,"WE SUPPORT TRUMP'S RECENT STATEMENT, SAYS AFENIFERE GROUP, CALLS BUHARI 'VEGETATIVE STATUS

Me : Fine And Good!  Igbo Elders Ohanaeze ( Ndi Oshi Na Aturu), Tell Us Your Stand Now That Yoruba Elders Have Made Known Their Position On Buhari Being ""Lifeless""
https://t.co/xT4XDN5RUz","[0.9284736815112622, 0.07152631848873788]",0
442,0,3,"@Oromedayo @honilatte @legitngnews Yariba = shady and unreliable person, while not talk about abuboku in yariba land, where you use your fellow human to bury your kings. You will believe fake news bsc it has to do with Igbos your imaginary enemy.","[0.14946929437783008, 0.85053070562217]",1
782,0,3,"@elrufai he won't e even scale through APC primaries, plus the hatred he has created for himself from Christians. If the North are tired of Being a part of Nigeria, let them put El rufai forward as another buhari. Then "" the monkey and Baboon to be soak in blood"" quote 4rm BUHARI https://t.co/bKTqynKfmV","[0.21675667972454363, 0.7832433202754563]",1
320,0,2,"@KemiOlunloyo @ArcGazal @jidesanwoolu Make he ask ""the source"" news paper na, Hausa people always acting dumb, illiteracy is at its peak with them","[0.1298986160194612, 0.8701013839805388]",1
1239,1,3,"Nigeria: Gradually turning into a Rwanda if left unchecked, the ""Killer Herdsmen"" issue.","[0.9385196358973339, 0.06148036410266608]",0
331,0,1,"@theREALbenORR @IlhanMN My problem with this dumb comment is ""immigrant woman of colour"" as if because she is an immigrant, a woman, and of colour makes her a lesser human being. Alaye, apart from your ""almighty"" America, anywhere else you go, you are considered an immigrant mumu of colour. Onye nzuzu","[0.12748959303464508, 0.8725104069653551]",1
367,1,0,"Thug comment: Remi Tinubu displays disgusting arrogance Aisha Yesufu https://t.co/o5x45V2kVv via @@dailyblastng Biafra","[0.9218515109969232, 0.07814848900307675]",0
1055,1,0,"RT @snnbiafra: ""A very reliable source informed me that Fulani terrorists planned to attack the three communities of Oduma, Nenwe (both in","[0.9370381679031634, 0.06296183209683656]",0
1109,0,3,"RT @AkiMarlin: BEST VIDEO on the internet today ...

AdaIGBO digging it with her dance step ???

IGBO enwero obele https://t.co/lfWfC11Fom","[0.2808135558827241, 0.719186444117276]",1
479,1,0,"@DavidOyedepoMin @BishopDOAbioye If u give God anything less than ur best, u've not regarded Him as God. Don't fool urself &amp; say ""Well, God understands"". If u understand who this God is &amp; what He's given to u, u'll be up &amp; doing. God doesnt relate to all Christians the same way. Some are Sons, others are babes?","[0.9289263306198166, 0.07107366938018356]",0
28,0,1,"Foolish talk""@Proud_EkitiGirl: You're just stupid b ""@OMG_itz_Henny: Females bleed for 5-7 days once a month and still be alive that's some","[0.11777491957086147, 0.8822250804291386]",1
336,0,3,"Vultures died from eating remnants of cow meat bought from Fulani herdsmen in Agwu LGA, Enugu on 20th July '19 #RUGA #Fulaniherdsmen #Buhari https://t.co/dKwAnLUMkP","[0.4068914349365361, 0.5931085650634639]",1
281,0,3,"RT @LITsauce: Gay Man: You bitches are ashy, dusty, &amp; pathetic.
Women: Omggg I'm weak 
Straight man: I don't like weave 
Women: MISOGYNIST…","[0.17766814665693917, 0.8223318533430608]",1
782,0,3,"@elrufai he won't e even scale through APC primaries, plus the hatred he has created for himself from Christians. If the North are tired of Being a part of Nigeria, let them put El rufai forward as another buhari. Then "" the monkey and Baboon to be soak in blood"" quote 4rm BUHARI https://t.co/bKTqynKfmV","[0.21675667972454363, 0.7832433202754563]",1
0,0,1,"@RealSolaKuti Most senseless tweet and most gullible tweets ......amd before you all open big mouths, I stayed in the North East and I am a Christian. Again, this is the most stupid stweet I have seen ever","[0.20513692444762333, 0.7948630755523766]",1
206,0,1,"@Dexwhytecast @elrufai aiding the killing of christians who go to worship or even pray 4 d country and useless govt? Gimme a breather.","[0.16291203745291188, 0.8370879625470882]",1
620,1,0,"RT @NoneonRecord: "" I was a church boy for a good part of my life. So, I was sometimes whore by night, Christian by day, if I can put it li…","[0.937839972880389, 0.06216002711961099]",0
367,1,0,"Thug comment: Remi Tinubu displays disgusting arrogance –Aisha Yesufu https://t.co/o5x45V2kVv via @@dailyblastng Biafra","[0.9232470252845857, 0.07675297471541435]",0
602,0,3,"@GarShehu @DanielOnjeh Ppl need to be wise and stop running after illiteracy, if u are not educated it doesn't mean u will killing like cow and goat, Fulani value their cow same as farmer value their crops no excuse for any ignorant bitches.","[0.12199922195455785, 0.878000778045442]",1
127,0,3,"@MaziNnamdiKanu @MBuhari @abati1990 @USinNigeria @StateDept @StateDeptPM @nassnigeria @JohnCampbellcfr @10DowningStreet @Number10press @SaharaReporters @DailyPostNGR @Jerusalem_Post After sending your Bingos into Bush Nigerian security haunting them killing them like cockroaches, the idea of your propaganda is getting to an end so this week is you jump into Buhari topic! I pity the Igbo Bingos that doesn’t understand you Nnamdi Usain Bolt Kanu 😊","[0.1384617905689644, 0.8615382094310358]",1
7,0,1,"@MobilePunch Mmmccchheewwww stupid question. Do u need to b a Muslim to invest??? No. Our Mumu na die for Naija","[0.11864014403273865, 0.8813598559672615]",1
595,0,3,"@MFaarees_ 😂😂😂😂. no worry buhari imcompetence plenty e go reach every body. so u get mind want us to support u. ur thugs stabbed my friend and arewa twitter was celebrating. karma is a babd bad bitch","[0.11686476436174446, 0.8831352356382555]",1
463,0,3,"@toolzbeib Liar Hard girl hard girl you don open Toto 😂😂😂","[0.12501196259431518, 0.8749880374056848]",1
65,0,3,"Men are Scum! Men are Scum!  Why are women still buying attraction oil, so you all want to attract scum bags abi?","[0.12137298140806249, 0.8786270185919375]",1
1151,1,0,"RT @xjesswalkerr: hot girls are born in may, june, july and august","[0.9214283492343645, 0.07857165076563562]",0
323,0,3,"@Bulamacartoons Dumb fool tagging Yoruba Yahoo..... Shey na OYINBO you dey fight for 🙄,
Or OYINBO com complain for yr station.
Your clansmen that parade the whole country killing and kidnapping just because of cow.
U must be mentally derailled for posting this","[0.12283853544300478, 0.8771614645569954]",1
1171,0,3,"#YouAreAFoolIf girl chop your money nd u no even knack one round","[0.23326941538082901, 0.7667305846191711]",1
