index,text,ethnic_keyword,name,class
118,"RT @mehdirhasan: I’m impressed that he told me, ‘Muslim cockroach, to go back to England. Normally they ask me to go somewhere in the Middl…",muslim|muslims|islam|islamic,Manu,0
764,No islamic sec endorse Buhari for the 2015 election but still PDP call him fanatic,muslim|muslims|islam|islamic,Manu,0
891,RT @____PARROT: The ummah is in a state that when a Muslim sees another Muslim praying their 5 daily prayers they say when did you become s…,muslim|muslims|islam|islamic,Manu,0
737,"But Islam allows you to see Dangote's bum-bum and keep mute, right? https://t.co/1AMbr14Y2y",muslim|muslims|islam|islamic,Manu,3
378,"@Imamofpeace If this is what Islam teaches, then, Mohammad and Allah are scum and shit",muslim|muslims|islam|islamic,Manu,2
622,RT @Amaka_Ekwo: Ouch: British political party calls Hillary Clinton ‘Islam’s whore’ https://t.co/XMYNT2NpMP,muslim|muslims|islam|islamic,Manu,0
911,RT @NSCIAng: NSCIA on COVID-19 and Muslims in Nigeria. https://t.co/JY1B8meouq,muslim|muslims|islam|islamic,Manu,0
897,"RT @Taqi_Ra3: The Rijeka Islamic Center, Croatia. https://t.co/3mcCP5J16l",muslim|muslims|islam|islamic,Manu,0
704,"@Soji_Traviz @kentaDedachi @FS_Yusuf_ @DavidHundeyin See I am not even a religious  person, but note that not all religions ate the same relative to other religions islam is a scourge on the human race! It only teaches and advocates for the destruction of others and also the establishment of a primitive society I.e. sharia🤝",muslim|muslims|islam|islamic,Manu,2
486,"If other Nigerians... Muslims, Xtains are fools I am NOT... I see, I'm not blind.. I feel I'm not heartless.. And I hear I am not deaf!!",muslim|muslims|islam|islamic,Manu,3
490,@BusangTau Who says we despise Muslim you be big fool quote me anywhere big fool na u be oloshi,muslim|muslims|islam|islamic,Manu,1
924,"Hi guy, Whatz up with dis said islamic movie!",muslim|muslims|islam|islamic,Manu,0
763,RT @Meerah_de_vie: Extremists and fanatics who justify their killings under the guise of Islam are the scum of the earth. Islam is a religi…,muslim|muslims|islam|islamic,Manu,1
904,"Except those who believe (in the Oneness of Allah Islamic Monotheism), and do righteous deeds, and http://t.co/ylxvcnCm 26:227 #Quran",muslim|muslims|islam|islamic,Manu,0
914,"RT @choccow: Dear Muslims, learn the Deen, please.",muslim|muslims|islam|islamic,Manu,3
5,@Meeiynalicious Sister. Goan meet that muslim scholar and tell him he should goan recheck the holy book. Making stupid statements about that can destroy a nation,muslim|muslims|islam|islamic,Manu,1
925,RT @Yadomah: Muslim clerics across Nigeria need to do a lot of clarification on the true teachings &amp; practice of Islam in their Friday &amp; ev…,muslim|muslims|islam|islamic,Manu,0
912,@TheVolqx I'm a Muslim sir,muslim|muslims|islam|islamic,Manu,0
249,@IsaTochukwu Nwannne.... Ibu ezigbote bastard.... U better as an atheist than muslim....... Nwanne.... Ibu ezigbote akpa amu aturu,muslim|muslims|islam|islamic,Manu,1
908,RT @RealOilsheikh: Congratulations to our sister Halima Buba for the tireless efforts of bringing to fruition another Non-Interest Islamic…,muslim|muslims|islam|islamic,Manu,0
289,"RT @_AdukeAde: Who are the morons saying Education in Islam is Haram?

Are you trying to be funny or you’re just trying to air your stupidi…",muslim|muslims|islam|islamic,Manu,0
889,"Lagos Muslim Community Meets Sanwo-Olu, Lists Five Things He Must Do To Get Votes https://t.co/CKRknavvrn",muslim|muslims|islam|islamic,Manu,0
895,"RT @Boboye_Ak: Mo Salah has made it a yearly holiday tradition to get dragged by Muslims for celebrating Christmas and he doesn't care.

Lo…",muslim|muslims|islam|islamic,Manu,0
487,"""@Kosi_Isok:BBC is just full of lies, half truths,propaganda and social brainwashing""Wat of Aljazeera? Sentimental fools!Always siding Islam",muslim|muslims|islam|islamic,Manu,1
905,"@ManUtd Do you want to learn how to read the glorious Qur'an fluently within a short period of time? 
Would you like to memorize the glorious Qur'an in the best of form? 
You wish to know more about the Deen, AL-ISLAM? 👇https://t.co/hFRKaNpRtr
almanaaracademy@gmail.com
AL-MANĀR I. A.",muslim|muslims|islam|islamic,Manu,0
117,RT @Auta_Musa_: Growing up in a Muslim household I wasn't even allowed to kill a cockroach because it's a sin and you're telling me that Is…,muslim|muslims|islam|islamic,Manu,0
906,"Established to disseminate Islam's values, are matters upon which the believers need to reflect.""",muslim|muslims|islam|islamic,Manu,0
940,@82ideas Kufre i see nothing wrong with Enyeama's comment. we pretend alot between you and i is Kaduna safe? The whole Northern Nigeria isnt,northern|northerner|northerners|arewa|almajiri,Manu,0
251,"@doyinokupe @NSaadu @PdpNigeria the fat bastard have no shame, being an almajiri is better than being a known thief.",northern|northerner|northerners|arewa|almajiri,Manu,1
215,@adamugarba tramadol in the system anuofia I don't want to make it a ethnic war but you see this northerners are the real problem this useless country has #EndNigeriaNow #EndSWAT #EndSARS,northern|northerner|northerners|arewa|almajiri,Manu,2
169,"Any slave dat betrayed his master is a pig 🐷 dog 🐶, to dos idiots that says rubbish on we the northerners, what is ur problem it is because we always decide who to rule, so go fuck ur self idiots bunch of pigs",northern|northerner|northerners|arewa|almajiri,Manu,1
79,"#FasholaHatesNorth A prime example of the cowardice, hypocrisy &amp; stupidity of Arewa twitter - Buhari &amp; Buratai can't defend your life &amp; protect your properties &amp; livelihoods but it is Fashola that is your problem. Absolute stupidity personified in a bunch of drug smoking idiots.",northern|northerner|northerners|arewa|almajiri,Manu,2
315,"I am very disappointed with the youths in Sokoto and Katsina who are going for #ProSars protest. Bandits have been killing thousands of Arewa people for 6 years you didn’t protest but you want to go and protest for SARS. This is very stupid and Dumb.
#EndSarsNow",northern|northerner|northerners|arewa|almajiri,Manu,1
936,@Austinokai @tundefashola @HQNigerianArmy @PoliceNG How do you become a northerner?,northern|northerner|northerners|arewa|almajiri,Manu,0
960,"RT @realidrisa: So sad, the picture on the left got more attention/condemnation from the northerners than the one on the right. What's our…",northern|northerner|northerners|arewa|almajiri,Manu,0
953,"RT @AM_Saleeem: Henceforth, Arewa Twitter will push &amp; promote those celebrities, artists/actors who lend their voice to the voiceless, to s…",northern|northerner|northerners|arewa|almajiri,Manu,0
495,RT @Al_fatihaaa: You’re a big fool you know that. Agbaya oshi. You never focus on things that really matter. Some northerners died for this…,northern|northerner|northerners|arewa|almajiri,Manu,1
419,RT @AfamDeluxo: Some of these Northern men are pigs!!! How TF can a 14year old turn you on? #FreeEse,northern|northerner|northerners|arewa|almajiri,Manu,2
291,@Udo_Oliver97 @jacksonpbn Moron is someone who believed everything he/she read and hear.. same people calling for buhari's head when rumours of is dismissal were flying around? same people who claimed it was a ploy to replace him with a northerner..may God heal your unstable mind,northern|northerner|northerners|arewa|almajiri,Manu,0
213,"RT @tinkizee2: This is Northern Nigeria
Where a man is a useless politician if he doesn’t pray in public
He must impress us with his religi…",northern|northerner|northerners|arewa|almajiri,Manu,0
786,When you were crying the blood of the baboons and dogs did they arrest you?? When u shouted that it was a grand attempt to kill northern youths in the name fight against insurgence where u incarcerated?? Please your movie at Dapchi was a flop. Better script next time! https://t.co/wVKn6CpTFH,northern|northerner|northerners|arewa|almajiri,Manu,0
787,"Kpele oo akwa ibom ambassador,wey they help all northerners signup 😂😂😂Authorized akwa baboon 🦍 https://t.co/pAhvtfhPLM",northern|northerner|northerners|arewa|almajiri,Manu,3
962,@DivorockDA @harbhiodun @starfm915 #arewa #voice nonsence,northern|northerner|northerners|arewa|almajiri,Manu,3
963,"RT @dawisu: While kidnappings &amp; banditry have subsided in the Northern part of the country, coordinated attacks on security outfits &amp; pocke…",northern|northerner|northerners|arewa|almajiri,Manu,0
348,RT @its_shamex: You can’t be even living in Arewa and be saying shit about us. Go back to your disgusting villages and let’s see if you can…,northern|northerner|northerners|arewa|almajiri,Manu,2
932,"RT @PreenceAmerica: @khadijasanusi_ Saw a lot of northerners speak against this today made me happier than you can imagine!!

No slander, t…",northern|northerner|northerners|arewa|almajiri,Manu,0
148,"I mentioned it here, that we will never retaliate through violent means. Suddenly the Almajiri's aren't parasites who contribute nothing to the union.",northern|northerner|northerners|arewa|almajiri,Manu,0
943,RT @is_salsu: I love my Northerners. There are bad eggs everywhere. Have a seat with a Northerner and you would know that not all of them s…,northern|northerner|northerners|arewa|almajiri,Manu,0
646,"@Garba3Dodo @ShehuSani @GovtOfImoState You are a liar, northerners in other region killed, maim, rape and destroy properties.",northern|northerner|northerners|arewa|almajiri,Manu,2
950,@Innocent_Ghostt @AM_Saleeem Buhari has failed us yes! But our northern leaders failed us the most. They turned there backs on us. Am very sure if our northern leaders are putting pressure on the president just the way southerns do then things would have been different by now.,northern|northerner|northerners|arewa|almajiri,Manu,0
951,RT @bbchausa: Rochas Okoracha ya soki gwamnonin Arewa kan hana almajirci. Ya ce ba ya goyon bayan kulle makarantun allo. https://t.co/fdqvT…,northern|northerner|northerners|arewa|almajiri,Manu,3
383,"Northerners in Nigeria are just set of people that are going through shit, but are ready to die and be buried d in shit in as much as they have their own person in power! Whether he is working for them or not.. https://t.co/Le7KOK4DQp",northern|northerner|northerners|arewa|almajiri,Manu,0
675,"With this Gimba tweet, it shows an average Northerner is only about him and his brothers alone. Which means every other ethnic group in Nigeria consists of Vultures. Awa ni man yi refer si as Vultures yen o",northern|northerner|northerners|arewa|almajiri,Manu,2
418,"The only Arewa artist that is one in a million, unlike those pigs that claim celebs. https://t.co/rM0vBMx1a5",northern|northerner|northerners|arewa|almajiri,Manu,1
956,RT @mrmacaronii: We won’t keep quiet while our Northern brothers and sisters are being massacred because of the obvious irresponsibility of…,northern|northerner|northerners|arewa|almajiri,Manu,0
949,Simon Lalong emerges as Chairman of Northern Governors Forum – Daily Trust https://t.co/MbQeCFMuOr,northern|northerner|northerners|arewa|almajiri,Manu,0
250,"@MBuhari COME OUT FUCKING OLD MAN. NEVER AGAIN WILL A NORTHERNER RULE THIS COUNTRY. BASTARD PEOPLE THAT IF ANY OF THEIR CHILDREN DIE THEY WON'T CRY, BUT LET ONE COW DIE, THEY WILL HOLD CANDLE LIGHT. #ENDSARS",northern|northerner|northerners|arewa|almajiri,Manu,2
149,Because northern politicians know your the North is a parasite eating where he does not sow. https://t.co/f7RyrKQjPR,northern|northerner|northerners|arewa|almajiri,Manu,2
80,"@OluSinmi They all fucking deserve the worst. I mean the worst . All of them. Fucking losers and morons. From the head to the toe. You threaten my tribe and serve coffee to your fucking northerners who rape,kill and destroy lives and properties. Give same fucking energy to all na. Idiot.",northern|northerner|northerners|arewa|almajiri,Manu,2
931,"NYSC ""@caramary3: Wetin go even carry me go there in the first place ""@dats_wahsup: U can't go to a northern state and not be paranoid.....""",northern|northerner|northerners|arewa|almajiri,Manu,0
216,"@emacofficial Omo see useless talk. Qurix received insults  upon insults o because that year admission  hard die. Nobe even now we dey see small admission for southern kaduna???

Bastard get mind call person Bigot",southern|southerner|southerners,Manu,1
789,@Bellomatawalle1 @PoliceNG @MBuhari @HQNigerianArmy @elrufai Useless Governor Nigerians are Ready for the Fight. Gone are those days Southerners Run. This time it's a religious One. So bring in your Dogs and Let the Dogs and The Baboon be Soaked in Blood..Like buhari has said it https://t.co/vXfXjCrKCm,southern|southerner|southerners,Manu,1
541,RT @maazi_ogbonnaya: It is not enough for Southern governors to ban open grazing. They should be proactive to invest in animal husbandry in…,southern|southerner|southerners,Manu,0
980,"RT @zitudiary: • COVID19 is ravaging the entire world.
• Racism - The ruthless killing of George Floyd
• The genocide in Southern Kaduna.
•…",southern|southerner|southerners,Manu,0
969,@benmurraybruce TY Danjuma lacks the moral authority to speak on this matter because he was deeply involved in the 1960's killings of the Southerners... It's a Frankenstein affair!,southern|southerner|southerners,Manu,0
984,"RT @MaziNnamdiKanu: Yinka Odumakin, you were one of the bravest LIONS that guarded Southern Nigeria. I mourn you you. #IPOB mourns. All tha…",southern|southerner|southerners,Manu,0
766,@OgbeniDipo Honorable VP. Resign to save the entire Southern Nigeria from more insult and derogation from the Religious fanatics. Thank you. God Bless Nigeria.,southern|southerner|southerners,Manu,3
983,"RT @instablog9ja: Stop Giving Nigerian Government Loans - Southern, Middle Belt Leaders Warn World Bank, IMF, US, China, Others.",southern|southerner|southerners,Manu,0
123,"@Gagzy_08 @MobilePunch Yet under him southern Kaduna people were murdered like cockroaches.
See ehn, if that man ever becomes president Buhari will be a saint compared to him",southern|southerner|southerners,Manu,0
971,RT @olusogaowoeye: Open grazing ban came into effect in Southern Nigeria 😁 these cows near my site in my village today are doing roaming gr…,southern|southerner|southerners,Manu,0
174,@NOIweala I wonder why it is always southerners screaming one Nigeria! Madam stay in Abuja when we finally share this country! Stop bugging us with one Nigeria! The same one Nigeria you were all chased away like dogs and baboons!,southern|southerner|southerners,Manu,2
253,SOUTHERN GOVERNORS REFUSING TO TAKE PREEMPTIVE MEASURES AGAINST THE INVADERS FROM THE NORTH ARE BASTARDS! AWON OMO ALE JATI JATI!,southern|southerner|southerners,Manu,2
53,"@ihyi_j @iamUncleMark @ONchris Those charged to be custodian of the south are a party to all the mess happening now, the greed is national, regional and then personal.

Your agitations are valid but those in charge of the fight are worse scum i tell you. 

Nddc directors, min of petroleum etc are southerners.",southern|southerner|southerners,Manu,1
647,"RT @runs_w_woIves: 15 How whites still benefit from slavery and genocide
16 White anti-racism
17 The Southern strategy
18 The rape of ensla…",southern|southerner|southerners,Manu,0
350,@NGRPresident You are a total disgrace to humanity.  You are disgusting to say the least.  Your genocide against southern Kaduna will not succeed.,southern|southerner|southerners,Manu,1
989,RT @Waspapping_: I just want to assure my southern brothers that the north 200% supports the #EndSARS movements. We do not support the reck…,southern|southerner|southerners,Manu,0
386,@nwamadi01 @Fecomnet @harrisonmbamara Pig always depends on shit... Keep on eating shit the next thing you'll hear boom crude oil available in north boom dangote refinery is ready to work it out boom heart attack on southerners 😂 😂 😂 keep fooling yourself olodo,southern|southerner|southerners,Manu,2
986,RT @uwagbale_: Cassava was introduced to Southern Nigeria by slaves who returned to Nigeria in the beginning of the 1900s. They taught Nige…,southern|southerner|southerners,Manu,0
998,@john_danfulani @AsiwajuTinubu @john_danfulani You are not relevant to the people of southern kaduna.,southern|southerner|southerners,Manu,0
445,@cee_kings1 @kulboi4real Lies but you believed your chronic liar Chinua Achebe..He literally plunged the southern part of Nigeria into chaos because of his rubbish propaganda.,southern|southerner|southerners,Manu,1
14,@SaharaReporters @GarShehu The stupid Garba Ewu should respect southern governors and respect the peoples decisions too.,southern|southerner|southerners,Manu,1
218,"The kind of wickedness that a lot of cultures in Southern Nigeria mete against widows eh! Those ones suppose end up for the last chamber of Dante’s inferno. In the name of one useless culture 
#SoroSoke",southern|southerner|southerners,Manu,2
974,A robotic sub marine resume its search 4 MH370 in southern Indian Ocean,southern|southerner|southerners,Manu,0
981,@TosinOlugbenga A heart that wasn't shattered at the cruel scenes of people beheaded in Southern Kaduna...Hypocrisy at its peak. God sees.,southern|southerner|southerners,Manu,0
1182,RT @thendo_sharon: A lot of women lost years of success from staying loyal to a toxic man.,women|woman|girl|girls|female|females,Manu,0
332,"Niggas be cuffing girls just because they thick &amp; the bitch look good 😭not cause she smart, or cause she can cook... 🤔But cause she “look good” 🤦‍♂️ now what ? After you done bussed yo nut , you sittin there with a dumb, stupid, cheating bitch and you hungry 😭😭💀",women|woman|girl|girls|female|females,Manu,2
831,"Ozo coconut head strong pass Laycon own sha

Nengi's tired is tired sef!

Ozo free this girl now and stop making it difficult for the both of you...please do this for your fans

#BBNaija #AGirlLikeNengi #OZOwillDoBetter https://t.co/swpF48OVgc",women|woman|girl|girls|female|females,Manu,1
655,"@SMiTHiE___ Yomi fabiyi is a very stupid guy bcs am sure a grown up man would never think the way he is thinking,not to even talk of a man with a child...I can't ane him na so him sef dey molest and rape young girls so he is bound to support his partner... IMPROPER FOOL",women|woman|girl|girls|female|females,Manu,1
1160,RT @MrAbuSidiq: Meet The American Billionaire Sponsoring Chibok Girls Education - https://t.co/RisqfDsnke https://t.co/W7FWoIpldQ,women|woman|girl|girls|female|females,Manu,0
156,"@OmoMojeed Tomorrow you'll still complain that women are parasites and depend on men for everything, pls what else do you want?",women|woman|girl|girls|female|females,Manu,0
772,@Stanlee_oruche @MrAmaukwu @Obia_Sebastian @KelvinOssai No...you know some religion fanatic believe that women must give birth through vaginal delivery as that is the only ORDAINED TYPE OF DELIVERY.,women|woman|girl|girls|female|females,Manu,0
1145,"RT @amerix: Men,

Your woman wants to feel your fearlessness and commanding demeanor.

She may show resistance but that is a shit test.

Sh…",women|woman|girl|girls|female|females,Manu,2
193,"FEMALE AND THEIR WAHALA
1. Female dogs become so wicked when they give birth.
2. Female chickens chase people... http://t.co/yYnyfvwaxV",women|woman|girl|girls|female|females,Manu,3
1170,"RT @Austine_Inspire: Exact from the just concluded Exclusive Valentine special for singles and married ladies.

-
A woman is not an after t…",women|woman|girl|girls|female|females,Manu,0
66,RT @Itz_gabby65: @MarquizDejavex @blvck_Witch @Jnr_elnino Awon 'men are scum' will not remember that most women and girl are demons...,women|woman|girl|girls|female|females,Manu,2
587,"@OsuohaJoy @_Patsyvera @BBNaija Stop repeating words this garage girl, and stop teaching your girls on how to become a harlot in life.  I pity the man that calls you his wife, a slut like you can end a man’s life . Aturu igaba 😛😛😛",women|woman|girl|girls|female|females,Manu,1
402,"RT @Echecrates: Come and see somebody's daughter and wife 🥰🥰. 

Happy Birthday to the woman I'm honored to do this life shit with.",women|woman|girl|girls|female|females,Manu,0
1179,"Either this is all scripted or these women are just very stupid 

#BBNaijaReunion",women|woman|girl|girls|female|females,Manu,2
801,"#Buzzzii Baboon Rapes Female Teachers, Steals Their Panties http://t.co/MndEjXh4TW",women|woman|girl|girls|female|females,Manu,0
755,Popular Pastor Who Spanked N*ked Female Church Members on their Bare Bum Jailed for 6 Years https://t.co/yznRp0IncG https://t.co/hXd0YuqHMw,women|woman|girl|girls|female|females,Manu,0
662,"SHOCKING: Mallam Rapes 17-Year Old Girl, Shaves Her Pubic Hair For Rituals http://t.co/CFFhZ0gL2L via @sharethis",women|woman|girl|girls|female|females,Manu,0
103,Imagine telling  me I'm working and contributing  to the upkeep of my household probably because  my husband can't take care of me? What sort of mad idiots are you people breeding  on this app?? Which woman still reasons like this? Anuofia.,women|woman|girl|girls|female|females,Manu,1
64,@uncool_seun @Ctianah1 @LuLu4presido Women are scum 😅😅😅,women|woman|girl|girls|female|females,Manu,2
155,@Tawakxl and to those (women)who think any assistance seeking husband as a parasite,women|woman|girl|girls|female|females,Manu,3
1156,RT @Fact: Male puppies let female puppies win during playtime.,women|woman|girl|girls|female|females,Manu,0
802,"""@urchbilz: Female baboon""@durubelle: @urchbilz ""@Questionnier: Cc someone who is shorter than you? #QnA""""""short frog",women|woman|girl|girls|female|females,Manu,0
724,@Sirdeeeeq @_MaryamWaziry Mo'fuckin aboki pervert. The world is way pass this. But u all are still so primitive. Can't u program you mind to ignore a woman nudity even when it appeals to you? Are you mo'fuckers so sex starved? Go get laid. Idiota!,women|woman|girl|girls|female|females,Manu,2
1147,@nickkroll @OperationFinale Who the heck is that boy girl?,women|woman|girl|girls|female|females,Manu,0
1180,"You wear beret in Nigeria...
Girl : Chorister
Boy : Cultist
🤦🏾‍♂️",women|woman|girl|girls|female|females,Manu,0
688,@amietorii @JFriks @chinazzar_ @JesutoniJesse Asun is a female vulture,women|woman|girl|girls|female|females,Manu,1
1157,"Have you heard about cervical cancer screening? It helps detect changes in your cervix before it becomes a full blown cancer. If you are a woman and you are sexually active, get screened as soon as possible. 
#cervicalcancer",women|woman|girl|girls|female|females,Manu,0
328,"@TheFavoredWoman You come out and assume every successful woman is fucking her wa through is outright dumb 
Imagine me assuming you are fucking your bosses to keep your job at smooth FM?
Cool yeah?",women|woman|girl|girls|female|females,Manu,1
1162,RT @feminist_co: We look forward to focusing on our mission to champion equality for women and executing more women-focused projects in 202…,women|woman|girl|girls|female|females,Manu,0
153,Malaria is spread when an infected Female Anopheles mosquito bites a person. This is the only type of mosquito that can spread malaria. The mosquito becomes infected by biting an infected person and drawing blood that contains the parasite.,women|woman|girl|girls|female|females,Manu,0
584,RT @DianeRusset: So often people tend to easily slut shame women and I’m glad today’s episode showed that it cannot be overly emphasized th…,women|woman|girl|girls|female|females,Manu,0
1152,Happy girl https://t.co/IAqS0KGtiS,women|woman|girl|girls|female|females,Manu,0
1137,"RT @DrOlufunmilayo: To kidnap 300 girls,
Let me break it down for you:

If these monsters use an 18seater bus,
They will need 16buses to do…",women|woman|girl|girls|female|females,Manu,1
1171,#YouAreAFoolIf girl chop your money nd u no even knack one round,women|woman|girl|girls|female|females,Manu,0
1155,"RT @BhoomiValodra: Girls,
Instead of not giving fuck about what boys might be going through. Let's hold their hand tightly with love and ca…",women|woman|girl|girls|female|females,Manu,0
133,"Poor Oye. This Tes of a cockroach is stressing our girl.

#AMBattleground #AMHushground",women|woman|girl|girls|female|females,Manu,3
832,@deus_plutus @AdeeyoTemitope Men are experts in blaming women. With his coconut head,women|woman|girl|girls|female|females,Manu,1
21,"@MrStanleyNwabia @akaebube I'm just smiling you pdp thinks Yoruba are stupid, zone national chairman to South south
VP to SE and you zone SGF to where 14 millions plus voters are waiting which already got VP slot from the other party 
You will never learn your lesson",yoruba|yorubas,Manu,0
1072,@Muhd_galadima @bukolasaraki It means Conquerer in Yoruba,yoruba|yorubas,Manu,0
1074,This first Oba of Benin is Yoruba. https://t.co/E8T7GJdONj,yoruba|yorubas,Manu,0
1089,@stephameh @omowe__ @Alexcassy @stephen_etubi @Mide0403 @MrLekanAdigun @SalmanDuke @iam_jibola8211 You no dey hear word. Yoruba boys don't know what they call quicky...they will pin you down even if brigade of guards are coming in sirens,yoruba|yorubas,Manu,0
687,@vanguardngrnews Well said Prof. The Yoruba vultures won't talk now.,yoruba|yorubas,Manu,2
1095,"RT @artpaldeblogger: check out sensational artist of TEN entertainment strike a pose with yoruba actress TOYIN AIMAKHU
https://t.co/Txge2DN…",yoruba|yorubas,Manu,0
823,"Thinking about it, it’s always yoruba men showing me pepper😭 you will think i should have learnt abi?? Nope! I get coconut head.",yoruba|yorubas,Manu,0
1063,@okala_chinedu @TWEETORACLE @OloriSupergal plix I want to make a report! U pipu are seeing na! Later dey wee say we Yoruba haff start.. giv us back our son https://t.co/wrqqbb98Io,yoruba|yorubas,Manu,3
394,@officialnairam1 Shit I need to learn yoruba ASAP.,yoruba|yorubas,Manu,0
747,"@EuginhoCortez You spoilt it with ethnic bigotry. What is wrong is wrong and it's an act that deserves corrections.. I've seen Yoruba meat sellers assault ladies, including slapping their bums in the name of improper dressing.",yoruba|yorubas,Manu,1
262,"Yoruba:
Omo ale lonfi owo osi juwe Ile baba e. 

Translation:
Only a bastard points at his father's house with the left hand.

Bon voyage!",yoruba|yorubas,Manu,0
1064,"@YeleSowore @inecnigeria Someone that is trying to liberate Yoruba people,Look at the poor amount of follower he got😒😒Like y’all ain’t suffering there🤦🏻",yoruba|yorubas,Manu,0
1092,"Watch and Listen to all the sessions in English and Yoruba via some Cable TV stations &amp;👇.
FB: https://t.co/MYyFeFuviY
YT: https://t.co/tsStSFWeRx
TwT: https://t.co/uCBUqn2Mak
TACEF📻: https://t.co/yujDYBxMXl
Eng: https://t.co/xOHOyaOAIP
Yor: https://t.co/6kooKBeFj3

#tacefis25 https://t.co/pEWIrOL0Px",yoruba|yorubas,Manu,0
578,Wats up wit u naaRT @hawtchic: Yoruba boys are just sluts! You can't change them!☺,yoruba|yorubas,Manu,2
686,GUNUGUN [VULTURE] - Latest Yoruba Movies| 2018 Yoruba Movies| YORUBA| Yo... https://t.co/ZzYjFL2aC5 via @YouTube,yoruba|yorubas,Manu,0
1069,"RT @ChifeDr: I am a great admirer of the “live and let live” philosophy of the Yorubas. 
And I think “Religious Tolerance: A Case Study of…",yoruba|yorubas,Manu,0
629,"show me a typical yoruba gurl,and i'll show you a professional whore. point made.",yoruba|yorubas,Manu,2
324,"@GaniyuIsiaq2 @NigeriaNewsdesk @PDP_2023 @NaijaNews I never see a yoruba so dumb as you in a life time, we yoruba donate you for the cleaning of lagos dam, idiot",yoruba|yorubas,Manu,1
181,RT @YorubaDemon16: Who said dogs don’t understand Yoruba ?? 😅 https://t.co/d0eQWrPNsF,yoruba|yorubas,Manu,3
125,"@dekunle_ib @Bams_Jnr @hashtag2weets @hay_whye @iamblobz @Kayomideee_ @Kingtanda @umar_ayotunde @OlabodeLA @mr_yolak @_Abdulquyum Wedding plans
Asoebi colour
Yoruba people: Cockroach brown,sunny yellow, onion purple,royal blue,dove white,tomato red, skyblue,teal green, 
Gonbordi wine,
Their own colours av names lol",yoruba|yorubas,Manu,0
57,"RT @OgbeniDipo: Driving 2 hours to go and see ordinary man. Small time, “men are scum.” “Yoruba men are this and that.” But you won’t leave…",yoruba|yorubas,Manu,0
1087,"RT @segalink: At such a time as this, we must avoid over generalization and must be circumspect. There is no such thing as Yoruba attacking…",yoruba|yorubas,Manu,0
