index,class,second_class,text,ethnic_keyword,name,Unnamed: 6,Unnamed: 7,
1267,0,0,"Couple of weeks ago, Five Star Music general, Kcee announced his upcoming project �Eastern Conference�. Following the announcement, Kcee comes through with a new single �Doh Doh Doh�, produced by Blaq Jerzee. The song... https://t.co/EajxNWbpvY",eastern|easterner|easterners|biafra,Niyati,,,
1254,3,0,"@bolajoko_dre @djWakhode @AdejoroDaniel Biafra will be like George Orwell's ""Animal farm"" for other Ethnic groups",eastern|easterner|easterners|biafra,Niyati,,,
778,0,0,"Eastern conference finals, MIAMI HEAT vs CHICAGO BULLS!! Basketball fanatics like me can't wait for dis matchup. I Lov the NBA!!",eastern|easterner|easterners|biafra,Niyati,,,
670,0,0,"Born from rape, some children in some parts of Edo State after the Biafra War were named according to how they were born. 

The names had prefixes like ""Okwo-"", e.g. Okwoba (red is the color of war), Okwodiaghe (War is not worth watching). 

 #rape #biafra #BlackLivesMatter https://t.co/zW0SkIqXtu",eastern|easterner|easterners|biafra,Niyati,,,
530,3,1,"@churchillnnobi,u are a Fool is Biafra or nothing",eastern|easterner|easterners|biafra,Niyati,,,
286,1,2,"@nubianafliktion You son of old whore,the whore ashawu that nigerian soldiers fucks during biafra war bastard!!!",eastern|easterner|easterners|biafra,Niyati,,,
370,2,2,Eastern Nigeria pidgin is disgusting https://t.co/jaxRpR6BbP,eastern|easterner|easterners|biafra,Niyati,,,
528,1,3,"@danny_charis @AreaFada1 What's the question, what are you saying?! Is Biafra a pack of sugar or a tin of milk?

Biafra was born but dead. How long will you fool around before you face reality?

FG and her family members only got the palliative none sense...",eastern|easterner|easterners|biafra,Niyati,,,
731,0,0,"Singer, Chike Apologizes To Eastern Nigerians For Calling Them Primitive

https://t.co/FsbFYocH93",eastern|easterner|easterners|biafra,Niyati,,,
413,1,1,"@DailyPostNGR Even an illiterate will know this is just one stupid and dumb, shit to frame Biafra",eastern|easterner|easterners|biafra,Niyati,,,
699,3,2,RT @agbataeze: BIAFRA: GATHERING OF VULTURES AND THEIR FAILED SUMMIT https://t.co/EoMGHEBC73,eastern|easterner|easterners|biafra,Niyati,,,
1247,0,0,"RT @firstladyship: The Biafra genocide ended 51 years ago. So far, Nigeria refused to address the issues that led to the carnage. True Fede�",eastern|easterner|easterners|biafra,Niyati,,,
369,2,2,"@OgbuefiTochi @McPhersonAzubu2 @ohansfav1 @Onwukamartins2 @david_okpokpor @DeAmy_July @SavvyRinu I'm from Anioma and Anioma belongs to Delta State and South South. Oga unity beggar, please focus on ur biafra and leave other zone alone bcs is very obvious that no one even wants to associate with you. The more you force it the more disgusting you guys becomes.",eastern|easterner|easterners|biafra,Niyati,,,
1259,0,3,"Got a �the governor of ____(one eastern state) is my friend and he has promised me the gig� pitch from someone I know. Well, let�s just say Governor no come through and my guy japa to UK with all my savings that I put in as investment. https://t.co/nGro2MXxuj",eastern|easterner|easterners|biafra,Niyati,,,
759,0,0,"Amber Turner, 24, revealed she underwent a non-surgical bum lift to get her posterior incredibly peachy on Instagram ahead of her sun-soaked Middle Eastern getaway https://t.co/zqY40tRObK https://t.co/CbqId4LJmj",eastern|easterner|easterners|biafra,Niyati,,,
1274,0,3,"RT @mefonna: An example of the fake news by Nig agents.Nigeria fabricates fake news on Biafra and Nnamdi Kanu,they push it out and then to�",eastern|easterner|easterners|biafra,Niyati,,,
476,3,1,@hshm10 @kcnaija You are a bloody liar... No one in Bornu Nigeria doesn't know Kanu. He is OHAMADIK 1 of Ala #Biafra.,eastern|easterner|easterners|biafra,Niyati,,,
1286,0,3,"RT @Amaka_Ekwo: �Quit order good for Biafra, bad for business� - The Nation Nigeria https://t.co/fn1hs4L1rc",eastern|easterner|easterners|biafra,Niyati,,,
1057,3,3,"RT @EdoIpob: Please make this public 
 till the  Benue Gov Ortom  takes responsibility, some  Nigeria Fulani army just  kidnapped 3 of  our�",fulani|fulanis,Niyati,,,
1037,0,3,RT @GetRich2000: Terrible things.. Gun shots everywhere in Oyigbo. I�m there. No sleeping for us tonight. Fulani boys escorted by the Niger�,fulani|fulanis,Niyati,,,
256,2,3,@iyke_nwabuko I v never for once see what ESN is doing as wrong... The little fear Bastard Fulani still have is bcoz of ESN,fulani|fulanis,Niyati,,,
257,2,2,"Sometimes, Fayose is my guy. Other times I just cringe at his actions.But on this murderous Fulani bastards, I support him! KILL THEM ALL!",fulani|fulanis,Niyati,,,
576,2,2,"@itz_PrevinMusic @OdyssonM @MaziNnamdiKanu U talk about condom only, that's the length u must have gone on immortality, at least I represent my root and they are proud of me, you are a dullard, a slave to Fulani grand master, how did they initiate u? Sodomy?
Slut u are
Bird of no nest, charlatan!
Disgrace to the industry",fulani|fulanis,Niyati,,,
293,3,3,@AriyoFolayan @DeeOneAyekooto Why don't you visit #Gandollar probably you wil get your own share just as your moron messiah is praising Ganduje as a responsible man.A man that is eating up tax payers money in foreign currency is called responsible by Buhari.U will surely end up in the hands of fulani militia,fulani|fulanis,Niyati,,,
548,2,3,"In the U.S dogs are the most popular animals, but in Nigeria it is cows, because the Fulanis love their cows so much and they want everyone to love their cow just the way they do.
No way for RUGA 
I say no to RUGA
I will 'peacefully protest' against RUGA settlement if need be.",fulani|fulanis,Niyati,,,
1050,3,3,"Southeast governors should raise up this is what is expected from this governors that claim they are protecting us, but all of them are errand boys to fulanis. @MaziNnamdiKanu https://t.co/5gMR6faB3S",fulani|fulanis,Niyati,,,
549,2,2,"RT @Mclawrenceco: They've deployed Fulani people to disrupt the protests, stay safe y'all. People were killed like animals at Apo yesterday�",fulani|fulanis,Niyati,,,
225,2,2,"@AbbakarGiwa @ogundamisi What investigation did you carryout before concluding that ipob is behind Gulak's murder?
Fulanis has killed over 5millions Nigerians just to preserve their useless ""one Nigeria"" mantra.
And that does not bother you,
Anuofia.",fulani|fulanis,Niyati,,,
1046,0,0,"RT @TosinOlugbenga: More than 20 people have been allegedly killed in Igangan, one of the towns in Ibarapa North LG in Oyo State, as Fulani�",fulani|fulanis,Niyati,,,
1054,3,3,"RT @FRNCitizens: FULANI claimed responsibility for the attack on Ortom, police said they lied.

BH said they shot down airforce Jet, Air fo�",fulani|fulanis,Niyati,,,
17,2,2,@Yusufu_AYD @boridammy @HillaryClinton @TundeTASH @MBuhari @HQNigerianArmy Stupid Fulani idiot of a boy.,fulani|fulanis,Niyati,,,
1039,0,0,"Please Don't Start To Done it here??? Meuveee

Lori iro|#RevolutionNow|Okocha|Amaechi|Seun|Fulani|#OccupyLekkiTollGate|#EndSARS|Channel TV|#ValentineWeek|Apple|Lagos| https://t.co/omlduHLLI0",fulani|fulanis,Niyati,,,
1044,3,3,"RT @TosinOlugbenga: I have never heard of Miyetti Allah until Buhari became President..

I grew up to know Fulani herdersmen rearing their�",fulani|fulanis,Niyati,,,
1043,2,2,RT @JBOY02675747: Disowning #IPOB will tell you how afraid they are about their masters #Fulani caliphate. https://t.co/RCoz9y2zRC,fulani|fulanis,Niyati,,,
1033,2,2,@solid1009  I am tried of dis fulani people. Dey should stop dia evil act b4 it is too late for dem ooo bcos everybody have end time.,fulani|fulanis,Niyati,,,
451,3,3,Comment on Emir Of Kano Is A Liar � CAN Blasts Sanusi Over Claim That 800 Fulani People Were Killed In Taraba by� https://t.co/AliIP3CusJ,fulani|fulanis,Niyati,,,
602,1,2,"@GarShehu @DanielOnjeh Ppl need to be wise and stop running after illiteracy, if u are not educated it doesn't mean u will killing like cow and goat, Fulani value their cow same as farmer value their crops no excuse for any ignorant bitches.",fulani|fulanis,Niyati,,,
793,3,3,"We will make the Baboons &amp; Monkeys Bathe in their Own Blood - Buhari, 2014.
This is the only Campaign Promise fulfilled by Buhari so far. It is obvious that the said Baboons &amp; Monkeys are the Armless &amp; Defenseless Non - Fulanis in Nigeria. My Heart Bleeds for the People of Benue.",fulani|fulanis,Niyati,,,
684,3,3,"RT @gaslinezoneaba: Just in : vulture died after eating poisonous cow meat inside slaughter market. Biafrans stop eating cow meat, fulani's�",fulani|fulanis,Niyati,,,
1045,0,3,"RT @uche_ezeonye: BREAKING: 19 Feared Killed In Fresh Plateau Attack by Fulani Militants.

Fulani Militants declare war on Nigerians, defen�",fulani|fulanis,Niyati,,,
421,2,2,@Waspapping_ @lil_desperado_ Most Hausa people on this app are so disgusting. You be number for the list?. Pig,hausa|hausas,Niyati,,,
744,2,2,"These Hausas and photoshop get problem. I think they need to be enlightened more on what photoshop means! #LekkiMassacre was photoshopped, dangote�s bum was photoshopped too. Animals.",hausa|hausas,Niyati,,,
221,1,1,"How about Ibadan killing of Hausas?

You guys are so useless. https://t.co/NyXKGZXzlH",hausa|hausas,Niyati,,,
1017,0,1,RT @Waspapping_: It�s inferiority complex that�s causing all these Hausa hatred we are seeing on the timeline.,hausa|hausas,Niyati,,,
321,2,2,"@AhmadUmarBaba5 @Binn_joe @SaliimMuhd @Suleey7 It has been known and proven that most Hausa people are dumb! 
You�re very dumb! Very very",hausa|hausas,Niyati,,,
449,3,3,How on Earth will An Hausa man interpret English language to the owners of The language?Who should define Terrorism well? Mr liar or USA?,hausa|hausas,Niyati,,,
351,3,3,@AsiyaKyari Ki fada da Hausa year uwa. Allah tsine musu. This is disgusting.,hausa|hausas,Niyati,,,
56,2,3,What�s up with giving credits to Hausa men on twitter today. I thought we all agreed that men are scum.,hausa|hausas,Niyati,,,
353,0,3,"RT @eltama007: One day we'll talk about how disgusting our attitudes are to our own culture. If you like Hausa songs, they'll label you 'da�",hausa|hausas,Niyati,,,
650,2,0,"@mujeedatl76 I ever had a row with some hausa guys about Rapists. Do you knw what they said, ""Walahy a lady is the one that brought rape on herself"" they said, indescent dressing is a call for rape.. And tht day i knew how dead their conscience was. If they were hia, they'll say its her fault",hausa|hausas,Niyati,,,
220,1,0,Please what does this useless thing means ? I guess is not hausa https://t.co/7A6nmgHmR7,hausa|hausas,Niyati,,,
1007,0,3,@YaxsyMand Bad luck or iftilahi in hausa,hausa|hausas,Niyati,,,
1009,0,2,"RT @abati1990: Federal Ministry of Health, kindly send a copy of your advisory on meningitis ?to Gov. Yari. Translate it into Hausa for him�",hausa|hausas,Niyati,,,
1016,0,3,@ismaeel11233 @atiku When we get their we will know wether is Hausa country or our country.,hausa|hausas,Niyati,,,
546,0,3,"RT @K1Says: Please,help me warn our hausa brothers&amp;sisters,it is not ""toothpaste weds Animal calling"", its Tuface weds Annie Macaula ...",hausa|hausas,Niyati,,,
712,0,0,RT @has_elmohamady: There�s is uniqueness in our own primitive designs (Hausa traditional architecture)which is gradually being abandoned a�,hausa|hausas,Niyati,,,
767,2,2,"@Chinyamasiani @Alqaseemnabanki A Hausa man is an ungrateful human. Hypocrites, fanatics,pretenders and evil doers",hausa|hausas,Niyati,,,
472,0,0,�You Are A Liar��Miyetti Allah Hits Back At Ortom Over Claim Herdsmen Attacked His�Convoy https://t.co/PnS9hoa4At,herdsmen|herdsman,Niyati,,,
840,2,2,"You get coconut head aswear.?
You have bandits, Boko Haram and killer herdsmen terrorising your region but you want to cause disunity over here. https://t.co/E1u2gKjXOX",herdsmen|herdsman,Niyati,,,
565,3,0,Her assertion can be understood 'cause the herdsmen are supposed to be shepherds, but wrong &amp, shouldnt be accepted if herdsmen have to put the cattle before a human life. That attitude of caring for animals to the extent of endangering &amp, killing your kind is evil. No exoneration. https://t.co/Vc7Utcd3cv,herdsmen|herdsman,Niyati
1235,3,2,"At least, we know what these ones are fighting for (even if it�s ingenuine)
Please what are herdsmen fighting for? https://t.co/B77yboWVOb",herdsmen|herdsman,Niyati,,,
838,3,1,"Oh i even forgot that this government has handed security of lives and properties  to God ( without giving Him security vote ooo) . They are merely securing the lives of the herdsmen. 
Garuba and his cronies are coconut heads",herdsmen|herdsman,Niyati,,,
1243,2,0,"RT @renoomokri: Buhari was not not elected to ban Twitter. 
He was elected to ban: 

Hunger
Killer Herdsmen
Insecurity
Terrorism
Illiteracy�",herdsmen|herdsman,Niyati,,,
38,2,2,"@yusuffAzeez16 @SaharaReporters @tundefashola As stupid as you are today is Jan 29 you claimed to have received February salary, can you see what you are doing to yourself by lying and using double standard.Tell me which company pays Feb Salary in Jan? Except for those defending killer herdsmen &amp; online party liars",herdsmen|herdsman,Niyati,,,
729,2,1,Had i known this president's mindset is primitive wouldnt even spend my energy writing all this stuffs 4years ago .....here we are...with kidnapping and killing by herdsmen at its all time high ...yet the commander in chief hasn't said a word .. https://t.co/tES7R7EppN,herdsmen|herdsman,Niyati,,,
136,3,2,"@SaharaReporters This is for farmers who received N10,000 Trademoni and believed that herdsmen killings will end if @MBuhari gets a second term: ""A cockroach is never innocent in the court of hens""",herdsmen|herdsman,Niyati,,,
1241,3,1,"RT @Tutsy22: Since you guys are so useless, let me update you on some national news:

1. Herdsmen killed 5 in Benue. 
2. Six killed, 20 wou�",herdsmen|herdsman,Niyati,,,
520,2,2,"@Smartgazzy @realFFK @GEJonathan May herdsmen visit u or anyone u love....then u will appreciate the need to have even one voice that will speak up for u. This is not about sentiments or appointment, @realFFK  is speaking out ....if ure brave enof , SPEAK OUT or forever remain a fool/slave",herdsmen|herdsman,Niyati,,,
1244,3,3,"RT @cbngov_akin1: ""We couldn't perform well because of herdsmen attacks""-Ortom

But the FG is not owing u allocations... 
Or u saying the a�",herdsmen|herdsman,Niyati,,,
1236,0,3,RT @MobilePunch: Herdsmen attack Ogun teachers on way to school https://t.co/xmMt6dfuTl,herdsmen|herdsman,Niyati,,,
39,1,3,@adeyanjudeji Very stupid of you so this time is not the herdsmen right? wawa dabba kawai shashasha jobless Dan iska...,herdsmen|herdsman,Niyati,,,
159,2,2,I was blocked by @facebook for reporting all the atrocious acts of the marauding herdsmen on my page @thepoliticalrebirth. I will not keep quiet. I called them out. They�re savages and parasites. This another of their evil @realFFK @renoomokri @tvcnewsng https://t.co/L9izIlMigU,herdsmen|herdsman,Niyati,,,
695,0,3,"Herdsmen poison 6 lions, 74 vultures to save cows @NaijDiaspora https://t.co/P7n5I4BQK3",herdsmen|herdsman,Niyati,,,
1232,0,0,RT @renoomokri: I respect Sheikh Abubakar Gumi. But I disagree with his call for General @MBuhari to grant amnesty to herdsmen and bandits.�,herdsmen|herdsman,Niyati,,,
1237,0,0,Ekiti will continue to support herdsmen- Gov�Fayemi https://t.co/RwN5E2PgRB,herdsmen|herdsman,Niyati,,,
521,3,1,@iamlaughter_2 I will rather be a herdsman than be a fool like you. Omo ale,herdsmen|herdsman,Niyati,,,
608,3,3,@Fehiintola M.D m.D for life. Dear @officialnairam1  a.k.a Igbo labi..  Someone just said we can't make it because we're marlians. Come &amp, educate the bitch,igbo|ibo|ibos|igbos,Niyati,,
27,3,3,"@DOlusegun believe he has resumed drugs and igbo shacking.He should go back to that rehab centre in Ghana.Stupid bigot,wawa kawai",igbo|ibo|ibos|igbos,Niyati,,,
459,1,1,"@Wahrheitnur1 @Kcphilips1 @SaharaReporters @MBuhari It's a lie you are a bloody liar. Igbos stayed here and are the major suppliers of spare parts, tyres, medicine, building materials,",igbo|ibo|ibos|igbos,Niyati,,,
1099,0,0,RT @AfamDeluxo: This is the 'sleekest' Igbo dance video I have seen. He fucking killed it!!! ?????????? https://t.co/6aKQxhuSUv,igbo|ibo|ibos|igbos,Niyati,,,
1113,3,2,@NigeriaNewsdesk @YNaija Hmm Igbos kindly let us live in peace,igbo|ibo|ibos|igbos,Niyati,,,
654,3,3,"@DailyPostNGR Yet when bokoharam, kidnaps, kills rapes in the north the elites look the other way, tompolo is even begged after threatening to blow oil pipe lines, but #igbos are bombed for asking for freedom",igbo|ibo|ibos|igbos,Niyati,,,
555,2,2,"Igbo politicians are political idiots, fools, nonentities... Bastards and vultures.... Animals...@GovernorRochas @",igbo|ibo|ibos|igbos,Niyati,,,
1102,0,0,"RT @ukpuru: Details of 9th-10th century bronze pendant excavated at Igbo Ukwu, Anambra State. British Museum. https://t.co/CMz0TrnoZM",igbo|ibo|ibos|igbos,Niyati,,,
127,1,3,"@MaziNnamdiKanu @MBuhari @abati1990 @USinNigeria @StateDept @StateDeptPM @nassnigeria @JohnCampbellcfr @10DowningStreet @Number10press @SaharaReporters @DailyPostNGR @Jerusalem_Post After sending your Bingos into Bush Nigerian security haunting them killing them like cockroaches, the idea of your propaganda is getting to an end so this week is you jump into Buhari topic! I pity the Igbo Bingos that doesn�t understand you Nnamdi Usain Bolt Kanu ?",igbo|ibo|ibos|igbos,Niyati,,,
1120,0,3,"RT @DrOlufunmilayo: After the 1966 Coup;
Aguiyi ironsi was killed
But that was not enough.

30,000 Igbos killed up North.
But that was not�",igbo|ibo|ibos|igbos,Niyati,,,
1127,3,3,RT @zynnnie: For an Igbo man to leave his shop and protest. Water don pass Garri. #EndSARS,igbo|ibo|ibos|igbos,Niyati,,,
61,X,2,"@Aliyu22041996 @Neche201 @ShehuSani @UgwuonahChikod2 You're a Foolani Scum, what do you know about Igbo people and their heroes? Better don't talk what you don't know. Fool.",igbo|ibo|ibos|igbos,Niyati,,,
653,1,0,"When we were focused on some other issues, the @HouseNGR has approved the $22.7billion loan request kicked against by the Southeast. This is complete rape of democracy. The @NGRSenate, @HouseNGR, and the administration of @MBuhari  and @NGRPresident keep shortchanging the Igbos. https://t.co/69K8tMNYna",igbo|ibo|ibos|igbos,Niyati,,,
