index,class,text,ethnic_keyword,christian|christians,muslim|muslims|islam|islamic,northern|northerner|northerners|arewa|almajiri,southern|southerner|southerners,hausa|hausas,fulani|fulanis,yoruba|yorubas,igbo|ibo|ibos|igbos,women|woman|girl|girls|female|females,lgbt|lgbtq|lgbtq+|gay|gays|lesbian|lesbians|transgender|transgenders,herdsmen|herdsman,eastern|easterner|easterners|biafra,name
225,1,@SaharaReporters @DrIsaPantami @DavidHundeyin I thank God for being a Muslim .Those who think that the false accusations on Pantami will spoil Islam are fools. ISLAM is the religion of peace . Islam doesn't forbid Muslims to act justly on non Muslims but Christians misunderstood the Islamic belief . https://t.co/MpkEr63B1C,christian|christians,,,,,,,,,,,,,Manu
407,0,RT @RadicalYouthMan: The Muslim-Christian violence reflects Nigeria’s regional and religious divisions and long-standing expectation of sha…,christian|christians,,,,,,,,,,,,,Manu
414,0,"RT @RingimKabir: #BabaWhenYouGetThere don't be a sectional leader, don't favour us, treat us equal with our fellow southern christians and …",christian|christians,,,,,,,,,,,,,Manu
406,3,See hateful things an Islamic scholar said about Muslims on Christians/Christmas https://t.co/l8V5bOv7ny,christian|christians,,,,,,,,,,,,,Manu
272,2,"RT @emma_dele: You hate men
You despise women
Muslim men are bastards
Christian women are hoes/bitches 
APC is evil 
PDP is useless

You ha…",christian|christians,1.0,1.0,,,,,,,,,,,Manu
32,1,"RT @dondekojo: Idiot, best achievement was being a member of a Conference GEJ set up. Did you hate Christians and Southerners when you decl…",christian|christians,,,,,,,,,,,,,Manu
244,2,"@realDonaldTrump It’s biafran women and fathers praying for you and supporting you, not Nigeria animals zoo, Nigeria want you to fall so that they can carry out they evil plan against Christians, Islamic terrorist government, Don’t love you",christian|christians,,1.0,,,,,,,,,,,Manu
329,1,"RT @mrviruze: vultures are #feeding fat in #Buhari government in NIGERIA, persecutions of CHRISTIAN COMMUNITIES both woman and children by…",christian|christians,,,,,,,,,,,,,Manu
421,2,RT @APOSTLESULEMAN: Delete Netflix app on your system..unfollow them if you are a true Christian..The movie 'gay jesus' is an insult to chr…,christian|christians,,,,,,,,,,1.0,,,Manu
200,0,"@0scar_splenz @You__cee There's no place in the Bible that states Christians shouldn't eat pig. Despite that, discouraging homosexuality is not the same as hating homosexuals. In fact, all true Christians should love LGBTQ people. Christ didn't turn away 'the adulterous' woman.",christian|christians,,,,,,,,,,,,,Manu
417,0,"RT @CBNNews: There have been reports of more violence against Christians by Fulani herdsmen in Kaduna state in Nigeria. 
https://t.co/T2Kff…",christian|christians,,,,,,,,,,,,,Manu
31,2,IMO lauds Nigeria’s leadership in fighting piracy https://t.co/1WBA7dOEn6 via @maritimenewsnow Trump Supreme Court Maguire Faith #oleout Moses Biafra Ethiopia Romanian Berger Christian Idiots @greekmaritime @maritimeinfo @maritimegateway @shipnews @themaritimehub @marineinsight https://t.co/KEMjylbVwt,christian|christians,1.0,,,,,,,,,,,,Manu
405,0,"RT @Sports_Doctor2: Her life wasn't perfect, a girl raised in a Christian family, became pregnant at  17 and had to marry her ""Baby Daddy""…",christian|christians,,,,,,,,,,,,,Manu
30,1,I mean the entirety of the Christian and the Muslim faith belief in Jesus but one idiot from Enugu thinks there is no scientific evidence to show he lived...like most of you are ignorant.,christian|christians,,,,,,,,,,,,,Manu
242,2,@DeeOneAyekooto @Yungplut1 Biafra herdsmen fools...,eastern|easterner|easterners|biafra,,,,,,,,,,,1.0,1.0,Manu
243,1,"@wHIodeiPbvLpzS9 @martinslanre @TruthAdedoyin @debograffiti Ode, Your level of reasoning is low and appalling. What is biafra? Stop making everything tribal. There is insecurity everywhere and you are trying to make this look like an ethnical clash? You are a big fool.
I am Yoruba but I'm Nigerian first!",eastern|easterner|easterners|biafra,,,,,,,,,,,,,Manu
160,2,"@OguguaChukwuma @General_Somto Arindin Biafra and oduduwa? Pls bear your fathers name. This attache by force is irritating. Can't you clowns do anything on your own without Yorubas? 

Bile filled morons",eastern|easterner|easterners|biafra,,,,,,,,,,,,1.0,Manu
198,1,"@Somto701 Nothing will happen in Enugu , what exactly are you protesting for in June 12 with the Yorubas? Did they observe sit at home for our Biafra fallen heros with us on 30/31 may? We want Biafra not nonsense June 12 protest shit",eastern|easterner|easterners|biafra,,,,,,,,,,,,,Manu
395,2,Northern cabals are too backward&amp;lazy 2b on their own..All they know is2loot &amp;embezzle public funds made out of Biafra land..Baboons&amp;Monkeys https://t.co/gqOJhE0UbV,eastern|easterner|easterners|biafra,,,1.0,,,,,,,,,,Manu
216,2,"Nnamdi Kanu: All Igbos Not In Support Of Biafra Are Pigs ,Evils and Child of Satan --Read More Click Here https://t.co/ekzhpqmi4u https://t.co/WK5XkW8vSP",eastern|easterner|easterners|biafra,,,,,,,,1.0,,,,,Manu
53,1,"@Derick27152036 @DavidOl57450723 @MaziNnamdiKanu Idiot we were massacred, both women and children because we said we want our Biafra restored. And we're still saying the same thing olodo. Allow us to leave peacefully.",eastern|easterner|easterners|biafra,,,,,,,,,,,,,Manu
350,2,RT @BiafraTelegraph: BIAFRA: NIGERIAN ARMY; PRIMITIVE ISLAMIC CIVILIAN HUNTERS https://t.co/TDKreTXoxL https://t.co/R0lrrlpzUH,eastern|easterner|easterners|biafra,,1.0,,,,,,,,,,,Manu
326,1,"RT @G0_NAWAZ_G0: #IndiaWithForces ? Which Rape it's own Women in North Eastern Indian States . 
#Asam #Manipur #Mizoram #Nagaland https://t…",eastern|easterner|easterners|biafra,,,,,,,,,,,,,Manu
140,3,@lakezWrites The object of war is not to die for your country but to make the other bastard die for his. So if the Fulani love Nigeria let them be ready to die for it. My GreatGrandfather Loved Biafra so much he died for it and I know he be happy to see how the Igbos today are able to stand,eastern|easterner|easterners|biafra,,,,,,,,,,,,,Manu
173,1,"@MistaPen @Sonni_011 @adamugarba Murtala wanted it but after listening to others that has brain (Murtala is dumb) he dropped the idea, if Biafra is limited to Igbo people, then we are better placed than the North cuz they are landlocked and don't really have anything. Al the resources they claim to have na audio",eastern|easterner|easterners|biafra,,,,,,,,,,,,,Manu
396,2,"@Muhamma78506593 @edjohn78178 @ShehuSani I support this 100%. Let every Southerner leave the North, especially the Easterners, Every region should control their natural and human resources and economy. No more free money in the name of nonsense Federalism. No more monkey dey work baboon dey chop.",eastern|easterner|easterners|biafra,,,,1.0,,,,,,,,1.0,Manu
122,1,@DailyPostNGR This woman is just useless to the South Easterners,eastern|easterner|easterners|biafra,,,,,,,,,,,,,Manu
215,1,"@standard_fresh @Tochi_Oke Imagine @Tochi_Oke you saying rubbish about ur igbo sister, how much did they pay you. Later you people will say u want biafra, how can u achieve that when u can support and be a brother to your own sister, I am disgusted with ur speech, u don't deserve anything good abt u. PIG",eastern|easterner|easterners|biafra,,,,,,,,,,,,,Manu
282,2,"@ta_fllexzy @Franklyn_NERD @DEXTER_lfc Pls add eastern girls in this ur generalization. No matter the tribe, just pray to find a good girl that's a real BITCH😉",eastern|easterner|easterners|biafra,,,,,,,,,1.0,,,,Manu
512,2,"RT @Popejero1: When #EndSARS started ,the government took the issue with levity and it backfired. The Fulani herdsmen are killing our peopl…",fulani|fulanis,,,,,,1.0,,,,,1.0,,Manu
504,0,"Fulani girl / Chad 🇹🇩 
Photo Credit @mario_gerth_photography
Repost @mzle_le
#Fulani #Fulbe #Chad #africa #culture #heritage #africanculture #africanheritage #travelphotography #travelafrica #everydayafrica #ig_africa #africanpeople #fulaniuniversal https://t.co/F3UG3XPTQW",fulani|fulanis,,,,,,,,,,,,,Manu
400,2,@SaharaReporters These Fulani herdsmen get coconut head,fulani|fulanis,,,,,,1.0,,,,,,,Manu
180,1,"@AIT_Online Buhari's Gaddafi boys' blame....!
How come they are striking only in Nigeria? Only in core Christian States? Are they just Hausa/Fulani friendly?

Are our military and police dead sympathetic to Gaddafi?

This is Buhari's (Baba blame) blame excuse to some disgusting sore fault.",fulani|fulanis,,,,,,,,,,,,,Manu
538,2,RT @MaziNnamdiKanu: To us the defence of the Eastern Region against marauding Fulani terrorists in the guise of herdsmen is of paramount im…,fulani|fulanis,,,,,,1.0,,,,,1.0,,Manu
167,2,"@ConelAA @channelstv Keep deceiving yourself as if you’ve gone there. Dumb Nigerians. Evil people! If they are using it, how far end you bokoharam, Fulani herdsmen and bandits? You are defending idiots! Shame on you and Nigeria. God will continue to punish Nigeria.",fulani|fulanis,,,,,,1.0,,,,,1.0,,Manu
76,2,"@realFFK Northerners are not parasites. The hausas and other ethnic nationality are hardworking people. 

It is the fulanis amongst them that is the cankerworm that is eating Nigeria from the inside.",fulani|fulanis,,,,,,1.0,,,,,,,Manu
525,2,RT @stjudendukwe: Can someone help me look for Gowon? He should speak out against the Fulani herdsmen terrorists on these incessant killing…,fulani|fulanis,,,,,,1.0,,,,,1.0,,Manu
532,2,"RT @MaziNnamdiKanu: ""You Proscribe IPOB Who Didn't Kill Anyone, But Refuse To Declare Fulani Herdsmen Slaughtering People, Terrorist. FG Is…",fulani|fulanis,,,,,,1.0,,,,,1.0,,Manu
507,2,"RT @Gr8tgiantII: All the Fulani enablers in Yoruba land,you shall all perish.#OduduwaNationNow",fulani|fulanis,,,,,,1.0,,,,,,,Manu
96,2,"RT @Amaka_Ekwo: @cnni 
Hausa/Fulani are hunting dogs for D #British in D British Zoo #Nigeria.
#FreeNnamdiKanu #FreeBiafra @UN https://t.co…",fulani|fulanis,,,,,1.0,1.0,,,,,,,Manu
521,0,Fulani Herdsmen engage men of the Nigerian Army and Mobile Police Force in Benue https://t.co/7LQRqhSCIm,fulani|fulanis,,,,,,,,,,,,,Manu
178,1,@wcmen007 @DrOlufunmilayo So you just have to drag hausa and fulani in every topic just to show much of a bigot you are 😠 disgusting,fulani|fulanis,,,,,,,,,,,,,Manu
515,2,"See them Fulani herdsmen kidnappers, or I should say Yoruba herdsmen kidnappers 🙄 https://t.co/QjAyZmy0xE",fulani|fulanis,,,,,,1.0,1.0,,,,1.0,,Manu
59,0,"RT @Uwani11: In Nigeria today even if a cockroach is incidentally killed the wailers will say""fulani herdsmen are responsible"".What an iron…",fulani|fulanis,,,,,,,,,,,,,Manu
293,0,"Eksu Student : Been a Fashionista doesn’t make me a whore – Funmilayo Grace

 Retweet if you agree.

Buhari Marriage 2nd June Boko Haram Igbos Fulani South East Samklef Money #June12Protest Laycon https://t.co/wJbNXltNoR",fulani|fulanis,,,,,,,,,,,,,Manu
500,0,@Datfulanigurl That Fulani girl,fulani|fulanis,,,,,,,,,,,,,Manu
493,2,RT @SAMKLEF: Let the world know that buhari and his hooligans FuLani soldiers are blood sucking demons. Igbos will rise!  We are the rising…,fulani|fulanis,,,,,,1.0,,,,,,,Manu
313,0,Fulani herdsmen rape newly wed in Ogun http://t.co/L2D1xmee,fulani|fulanis,,,,,,,,,,,,,Manu
357,3,"@KemiOlunloyo Fulani soldier’s slapped and kill ipob’s(Biafra), they never cried nor retaliate! They met a Yoruba man on their way home:Good Samaritan Yoruba’s asked them what happened can we help you?Bum😫 they start crying 😭 calling Yoruba’s names🤣. Remember when u couldn’t beat ur teacher",fulani|fulanis,,,,,,,,,,,,,Manu
513,2,"RT @RealDreylo: Peaceful protesters came out to raise their voices for good governance. They were shot at. 
Fulani herdsmen butcher citizen…",fulani|fulanis,,,,,,1.0,,,,,1.0,,Manu
44,1,"@BiafraGadi @Amaka_Ekwo @NkirukaNistoran @NkemdiMary @EmekaGift @radiobiafralive @EmekaIhedioha Some idiots are councillors are saying Biafra cannot give any order. That they cannot stop anyone from movement, but I ask them - If Fulani threatens you, where do you run to or can you challenge anyone of them? The FLAG must fly and there is nothing anyone can do about it! Fools",fulani|fulanis,,,,,,,,,,,,,Manu
315,2,"@Hasmusreal @realFFK Ciru da kariya mallam!
You can sit down and watch them rape your sisters, mothers, wives, and kill your sons, but we won't do that.
Fulani or not, Northerners are now a pest to other tribes that they must be crush with immediate effect.",fulani|fulanis,,,1.0,,,,,,,,,,Manu
135,2,"@thecableng @MaziNnamdiKanu ""Authorless gabbage junk latrine journalism, as such that the writer on purpose refused appending his bastard name on this article. 

My message's one, Biafra will come to be. 

Meanwhile, continue with your Zoo of suffering &amp; smiling lawless Islamic Fulani state of Nigeria.""✔ https://t.co/vhWNCrjWN2",fulani|fulanis,,1.0,,,,1.0,,,,,,,Manu
193,3,"@TRUTHFEARSNOLIE @PoliceNG @HQNigerianArmy Thank you for reminding the people. Okada is banned but we see them running around and next they attack at lekki. It wasn't a fuzz but then they bring this shit up. Wait na only islamic fulani people get right to violence, yeye dey smell for this govt.",fulani|fulanis,,,,,,,,,,,,,Manu
535,0,"If the deaths took place in any of the south east states,nnamdi kanu would have screamed Fulani herdsmen https://t.co/iftRIvawO7",fulani|fulanis,,,,,,,,,,,,,Manu
249,2,@JajaPhD Exactly my thoughts. Here in Nigeria fulani herdsmen are killing people like animals and nothing has been done. How do you expect them to treat us in another man's land? Our lives are not valued . To our government we are just toys. #SayNoToXenophobia,fulani|fulanis,,,,,,1.0,,,,,1.0,,Manu
374,0,We said this Fulani Herdsmen assaults were religious and we were marked as fanatics. Is there grass in the Church? #TheShepherd,fulani|fulanis,,,,,,,,,,,,,Manu
358,3,"@AfamDeluxo So sad across d five Eastern states, what we hv as governors are morons, ndi uchu,who relish in licking d Fulani Oligarch's bum bum for their selfish interest.Why won't Nnamdi Kanu not be popular among our people.Efulefu's are going 2 kill d ESN to b in good books of their gods!",fulani|fulanis,,,,,,,,,,,,,Manu
373,0,"@ogundamisi Mr Kayode @ogundamisi , with all due respect, I know you know that been a fanatics or tribal bigot has no connection with where you come from. Been a Muslim does not mean you are a terrorist, not all Fulani are heartless, it all depends on your level of education",fulani|fulanis,,,,,,,,,,,,,Manu
150,2,That's correct &amp; the attack. Is supported and promoted by aged sofisticated morons &amp; don't be surprised those morons may even act in concert with their fulani friends who would carry it out and boom the Yorubas would be at Igbos troat then the morons would celebrate with Fulanis! https://t.co/zdbqpl9OfY,fulani|fulanis,,,,,,1.0,1.0,,,,,,Manu
530,2,"RT @Real_AdaKing: Until now, the Nigeria military hasn't done anything about this clip that shows Miyetti Allah Killer Fulani Herdsmen With…",fulani|fulanis,,,,,,1.0,,,,,1.0,,Manu
537,0,"Confession of Fulani Herdsmen: "" We are Boko Haram""..Read this @ https://t.co/1zCZ1qsBUN",fulani|fulanis,,,,,,,,,,,,,Manu
209,0,"A Facebook user Named Che Oyinaytumba has embarked on a Cowless Nigeria, Following the continuous killings and Attacks By Fulani Herdsmen, According to him he has stopped eating Cow and bwill continue to until they are Prosecuted, That he eats only Pig (Pork) and bush Meat https://t.co/UBF1OoFGOW",fulani|fulanis,,,,,,,,,,,,,Manu
505,0,"RT @the_davidatta: Buhari won the 2015 election.

His brothers, the Fulani herdsmen didn't decide to colonize the middle belt in 2015.
They…",fulani|fulanis,,,,,,,,,,,,,Manu
498,0,"Fulani Herdsmen Attacks Another Benue Community, Kills 15 @acthurrichard61 https://t.co/kCTBiHyiJk",fulani|fulanis,,,,,,,,,,,,,Manu
236,2,"@blakshuga_igho Which oil, fool. The Fulani that had been embezzling the oil what have u gotten from them, mugu, u can't fight them, weakling, but if na Biafra ya eyes go red, let me educate  u, the greatest resources in this lifetime is human resources ( mental resources).",fulani|fulanis,,,,,,,,,,,,1.0,Manu
345,2,"@ProfOsinbajo Tell your oga to stop releasing captured Boko haram and stop the pretence and long grammar, who grammar help?A stupid Fulani illiterate was on National TV calling your people primitive not minding that  No2 citizen of Nigeria is a Yoruba https://t.co/oi1V7GVNAY ashamed of you",fulani|fulanis,,,,,,1.0,,,,,,,Manu
208,3,@NwaoguPaul This is why they introduced the almajiri system for the Hausas and indiscriminate birth of children like pigs. How many Fulanis engage in such?,fulani|fulanis,,,,,,,,,,,,,Manu
529,0,"Nigeria's Security Crisis worsen as Fulani herdsmen invade Benue communities

▪several persons killed and... https://t.co/EpjLlmFWml",fulani|fulanis,,,,,,,,,,,,,Manu
501,0,RT @funshographix: If fulani herdsmen burn your house &amp; kill your family. If you retaliate. Govt will arrest you not the fulani herdsmen. I…,fulani|fulanis,,,,,,,,,,,,,Manu
506,2,"@PremiumTimesng Or else what?Yoruba people has beaten Fulani's in May war this is not the first time fulani's will attempt to take our Land, (war) Ogun jalumi, (war) Ogun elo lowodo and many more but this time around we are putting the end to fulani's invasion in Yoruba land",fulani|fulanis,,,,,,1.0,,,,,,,Manu
97,2,"@FS_Yusuf_ @MBuhari Let the stupid unwavering dogs continue to dance naked in the market square.
They've made us understand that summation of the nation's problem now is @MBuhari terrorism+banditry+kidnapping+#LekkiGenocide +Fulani herdmen+Boko Haram+police brutality+inflation=Islam Buhari.
Awon Ode",fulani|fulanis,,1.0,,,,,,,,,,,Manu
502,0,"RT @AzubuikeOnovo: BREAKING NEWS---""Stay away from Southeast or risk another war""---BISHOP CHUKWUMA to FULANI herdsmen.",fulani|fulanis,,,,,,,,,,,,,Manu
221,1,RT @stanCSO: Nigeria will never grow with liars like Buhari as presidents. Qualified people are found mainly among his Fulani/Hausa Moslems…,hausa|hausas,,,,,,,,,,,,,Manu
471,0,RT @Mochievous: Please how do I say Soro Soke in Hausa and Igbo? Thank you,hausa|hausas,,,,,,,,,,,,,Manu
483,0,"RT @ShehuSani: Hausas,Igbos and Yorubas  irredentists should live in peace with each other.The #EndSARS protests should NOT be manipulated…",hausa|hausas,,,,,,,,,,,,,Manu
474,0,MaestroNews: Hausas And Fulanis In Enugu Taking Refuge In Army Barracks - Ekweremmadu https://t.co/MR4qER2M0l https://t.co/e1I0QDUt8I,hausa|hausas,,,,,,,,,,,,,Manu
485,0,"RT @Iamjrmike: The hausa man is my brother.
The hausa woman is my sister.
The igbo man is my brother.
The igbo woman is my sister.
The yoru…",hausa|hausas,,,,,,,,,,,,,Manu
310,0,"@BBCAfrica Please beam your search light, using your pidgin, yoruba, hausa and Ibo service, on the rape allegations against Pastor Biodun Fatoyinbo by Busola Dakolo.

It appears Fatoyinbo is trying to use intimidation tactics against the lady. Pls talk to Timi and Busola Dakolo",hausa|hausas,,,,,,,,,,,,,Manu
482,0,"RT @Phatmykee: @SuperSlimEli My old used to say when the Yorubas were going to school, the Hausas were going into politics and when the Igb…",hausa|hausas,,,,,,,,,,,,,Manu
74,2,"RT @NkirukaNistoran: 2. and a leader God give to Ndi Igbo Nnamdi KANU, in order to satisfy their Hausa Fulani parasites slave masters.

It…",hausa|hausas,,,,,1.0,1.0,,,,,,,Manu
387,1,"Buhari said Baboons and Monkeys will be soaked in blood if he does not win in 2011/2015. @MBuhari Who are the baboons &amp; moneys? Is it Fulanis, Hausa's, or Yorubas &amp; Biafrans? or, is it the entire Nigeria citizens? This is the worst of hate speech - we will all probe it to latter!",hausa|hausas,,,,,,,,,,,,,Manu
40,1,The most powerful weapon that is used to destroy Africans is tribalism and religion. Idiots in Nigeria can start civil war over who must lead between Christians/Muslims or Igbo/Hausa/Yoruba. In the eyes of your enemies you are all Black and useless. UNITE or PERISH,hausa|hausas,,,,,,,,,,,,,Manu
166,2,"@SteveCypha @kabirmuhammada6 Yorubas thinks that the hausas are not smart while de hausa behave dumb to the Yoruba and later out smart them..... generally hausas are smarter than yorubas, Yoruba na empty vessel with a louder sound nothing dey  their head for politics",hausa|hausas,,,,,,,1.0,,,,,,Manu
468,0,"RT @renoomokri: My dear brother, it is not a must to speak English. I understand Yoruba and some Hausa maybe that's easier for you. https:/…",hausa|hausas,,,,,,,,,,,,,Manu
149,2,"@OnAburiWeStand @realFFK @MBuhari @YeleSowore @dadiyata @sambo @sawore Don't be an ashole moron child. You are the fool i have ever seeing. Do you even know the meaning of shiites. Meanwhile,i am not an hausa or a northerner. My people dont beg. We aint the kidnappers you know.",hausa|hausas,,,1.0,,1.0,,,,,,,,Manu
344,2,"Hausa people are not more Muslims than any other tribe. But believe you me, some of them are more childishly primitive and stupidly beclouded with 18th Century belief when it comes to an ethnically domiciled issue that doesn't need to be inseparably linked with Islam.",hausa|hausas,,,,,1.0,,,,,,,,Manu
73,2,"@AshakaSaleh @Usouph If Nigeria was to split today, have you imagined a country made up of Hausa-fulani? 😂

That's what they are afraid of. 😄 A parasite can't live without a host.",hausa|hausas,,,,,1.0,1.0,,,,,,,Manu
94,2,"RT @Amaka_Ekwo: @AFP Hausa/Fulani are hunting dogs for D #British in D British Zoo #Nigeria.
#FreeNnamdiKanu #FreeBiafra @UN https://t.co/a…",hausa|hausas,,,,,1.0,1.0,,,,,,,Manu
371,2,"@dunua @ElvisChinedu12 @HQNigerianArmy I keep asking why God allowed amalgamation of terrorist minded and religious fanatics Hausa/Fulani north with the South, they've been a reproach and wedge to d development of the South.",hausa|hausas,,,,,1.0,1.0,,,,,,,Manu
22,2,"@Hausafinegirl1 Most Hausa babes are not smart, Most Yoruba men are too cunny, it’s easy for Yoruba men to be scum towards Hausa babes..

✌️",hausa|hausas,,,,,1.0,,1.0,,,,,,Manu
476,0,"RT @Nappyblaze: The Igbos, Hausa and Yoruba can coexist in the same Nigeria. No Tribal slander shall be tolerated from Adamu Garba, Nnamdi…",hausa|hausas,,,,,,,,,,,,,Manu
470,3,RT @DeeOneAyekooto: Biafrans will say Hausa Fulani killed Ironsi and Igbos during civil war. So the children and their conniving elders tur…,hausa|hausas,,,,,,,,,,,,,Manu
479,0,"RT @Tomiwa_faleye: Fagba is hot right now, there’s a clash between the Hausa and Yorubas! Please retweet for everyone to see what’s going o…",hausa|hausas,,,,,,,,,,,,,Manu
473,0,RT @DrOlufunmilayo: BBC Hausa has just reported the kidnap and abduction of 300 school girls by bandits at GSS Government Secondary School…,hausa|hausas,,,,,,,,,,,,,Manu
206,3,"RT @UMaikanwa: There are four major ethnic groups in Nigeria 🇳🇬 :

1- Hausa/Fulani 
2- Yoruba’s
3- Pig’s 
4- Igbo’s",hausa|hausas,,,,,,,,,,,,,Manu
147,1,"Crowd funding a terrorist organization, u are a magnetic fool
Igbos are smart nd industrious people , but IPOB are the pigs and idiotic morons among them

I hate no issues with Igbos , you have issues with Hausas , am not Hausa , I have issues with IPOB pigs 
Oya find another lie https://t.co/ldohgzSL0u",hausa|hausas,,,,,,,,,,,,,Manu
72,2,"RT @Amaka_Ekwo: Hausa &amp; Fulani forever should be referred to as lazy, parasites, leeches until they become independent. @NGRSenate 

https:…",hausa|hausas,,,,,1.0,1.0,,,,,,,Manu
132,2,"@von_Bismack If there should ever be another instance of war, the casualties will be greater in the North and amongst the hausas. The igbos are wiser &amp; are all over the world. Access to sophisticated weapons won't be a problem. We will hire mercenaries only to teach those bastards a lesson.",hausa|hausas,,,1.0,,1.0,,,,,,,,Manu
107,2,"@toheebade @Thegreyword You people have stop hiding the fact that you hate buhari because of where he pick is VP,  I thought those fool hated hausa/Fulani not know that is because of VP slot useless people",hausa|hausas,,,,,1.0,1.0,,,,,,,Manu
343,2,"@Officialchike For the fact that we always excellently digress from a major point of a discussion and guilt trip people into apologizing for primitive tribal reasons. Fuck Yoruba, Igbo and Hausa.",hausa|hausas,,,,,1.0,,1.0,1.0,,,,,Manu
342,2,@obishyy @Tasinnewstv I dont know some igbo people are so naive and primitive...that was how the Hausa claimed western education is evil hence boko haram,hausa|hausas,,,,,1.0,,,,,,,,Manu
111,2,"@manlikebola @temitopetemita7 @hannahmuktar @ArewaTwiter Lol, have taken what I wanted from here. You guys are the most illiterate set of people. Almajiri begging. You add nothing to the country. Nothing. You are useless, you love power and you can't use it sensibly. Hausas must go. You must go. He said few states voted against him",hausa|hausas,,,,,1.0,,,,,,,,Manu
231,2,"@BankyW Bros nawao...🤣🤣🤣
Coz of politics and because you know say those fools people are rating are all from Northern side(Hausa) you too con dey dress like aboki... Yeye
No con goan face ya Adesua maybe that one too don dey kiss like soft chew gum.. https://t.co/uuO8b0pyvo",hausa|hausas,,,1.0,,1.0,,,,,,,,Manu
4,1,@Eroncee01 It is a lie. No Hausa person or Muslim is under attack or attacked in Onitsha. Stop tweeting nonsense. And stop being stupid.,hausa|hausas,,,,,,,,,,,,,Manu
291,2,@Lilsadiq05 @meenanyako @Raahmatuallah @RabiahJigo @aiishadahir @aishamukky @zainab_zesha @Zaraa_Jikantoro @maryambazzah @Rahma_sadau not every one who wear atamfa/kaftan and is from north is hausa/fulani or Muslim some are not hausa nor muslims but they whore the same type of cloth with us speaks our native lang but they have their own lang and religion a true hausa/fulani Muslim can't do this shit 💩,hausa|hausas,,,,,1.0,1.0,,,,,,,Manu
467,0,"@davido is the only Nigerian artist that has songs with different language Hausa, Yoruba and igbo and the  languages of other countries like south African,Tanzanian and Spanish #30BG to the world",hausa|hausas,,,,,,,,,,,,,Manu
110,2,@Bmatty321 @WaleSupo @yourannoycentra @AdamsClem1 Trust me when I say . Some yorubas are more useless than the Almajiri. So useless! That was how they were useless all throughout before the war. Thinking they won't be affected. It is better I live in a room with an hausa person than them.,hausa|hausas,,,,,,,1.0,,,,,,Manu
58,0,"Suit and Tie is just a normal dress for White Men just like Yoruba, Igbo and Hausa have our own dress. How Biden Dress become a Presidential Criteria is mystery. Anyway, for ""Pro Bono"" sake, you can continue mounting Atiku on Cockroach Ride so far BTC and $ keep dropping https://t.co/4y9TpUu5hp",hausa|hausas,,,,,,,,,,,,,Manu
463,0,"RT @farouq_yahaya: For English, press 1

For Yoruba, press 2

For Hausa, press 3

For Igbo, press 4

For Manchester United, press 5",hausa|hausas,,,,,,,,,,,,,Manu
464,0,"@JohnFanimokun @realFFK need to see this, all these our people will just let someone be short of word, can you imagine she was bold to say all those things that she was arrested wrongly although her claim that they released hausa girls is still valid if what is in this video is to go by.",hausa|hausas,,,,,,,,,,,,,Manu
